,trial_num,episode_num,type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,0,0,non-novelty-performance,0.7930766313103939,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,1,non-novelty-performance,0.8713579921871136,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,2,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,3,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,4,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,5,unknown-novelty,1.0,0.999999,0,nothing,0.385,0.0,2.0,{'gravity': 12}
0,0,6,unknown-novelty,1.0,0.999999,0,nothing,0.985,0.0,2.0,{'gravity': 12}
0,0,7,unknown-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'gravity': 12}
0,0,8,unknown-novelty,1.0,0.999999,0,nothing,0.99,0.0,2.0,{'gravity': 12}
0,0,9,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,10,unknown-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'gravity': 12}
0,0,11,unknown-novelty,1.0,0.999999,0,nothing,0.98,0.0,2.0,{'gravity': 12}
0,0,12,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,13,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,14,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,5,known-novelty,1.0,0.999999,0,nothing,0.77,0.0,2.0,{'gravity': 12}
0,0,6,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,7,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,8,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,9,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,10,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,11,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,12,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,13,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,0,14,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,1,0,non-novelty-performance,0.8162936731508106,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,1,1,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,1,2,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,1,3,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,1,4,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
0,1,5,unknown-novelty,1.0,0.999999,0,nothing,0.965,0.0,2.0,{'gravity': 12}
0,1,6,unknown-novelty,1.0,0.999999,0,nothing,0.57,0.0,2.0,{'gravity': 12}
0,1,7,unknown-novelty,1.0,0.999999,0,nothing,0.985,0.0,2.0,{'gravity': 12}
0,1,8,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'gravity': 12}
