,trial_num,episode_num,trial_type,episode_type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,0,0,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,1,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,2,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,3,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,4,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,5,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,6,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,7,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,8,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,9,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,10,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,11,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,12,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,13,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,14,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,0,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,1,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,2,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,3,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,4,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,5,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,6,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,7,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
