,trial_num,episode_num,type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,0,0,non-novelty-performance,0.7120886571666745,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,1,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,2,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,3,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,4,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,5,unknown-novelty,1.0,0.999999,0,nothing,0.18,0.0,2.0,{'length': 0.3}
0,0,6,unknown-novelty,1.0,0.999999,0,nothing,0.76,0.0,2.0,{'length': 0.3}
0,0,7,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,8,unknown-novelty,1.0,0.999999,0,nothing,0.785,0.0,2.0,{'length': 0.3}
0,0,9,unknown-novelty,1.0,0.999999,0,nothing,0.365,0.0,2.0,{'length': 0.3}
0,0,10,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,11,unknown-novelty,1.0,0.999999,0,nothing,0.815,0.0,2.0,{'length': 0.3}
0,0,12,unknown-novelty,1.0,0.999999,0,nothing,0.81,0.0,2.0,{'length': 0.3}
0,0,13,unknown-novelty,1.0,0.999999,0,nothing,0.38,0.0,2.0,{'length': 0.3}
0,0,14,unknown-novelty,1.0,0.999999,0,nothing,0.34,0.0,2.0,{'length': 0.3}
0,0,15,unknown-novelty,1.0,0.999999,0,nothing,0.58,0.0,2.0,{'length': 0.3}
0,0,16,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,17,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,18,unknown-novelty,1.0,0.999999,0,nothing,0.99,0.0,2.0,{'length': 0.3}
0,0,19,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,5,known-novelty,1.0,0.999999,0,nothing,0.255,0.0,2.0,{'length': 0.3}
0,0,6,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,7,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,8,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,9,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,10,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,11,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,12,known-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,0,13,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,14,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,0,15,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
