episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,notify_novelty,pass,episode_type,trial_num,novelty_id,trial_type,level,env_config
0,0,1,0,0,36140,FALSE,Fail,non-novelty-performance,0,1_6_0,unknown,1,
1,0,1,0,0,26590,FALSE,Fail,non-novelty-performance,0,1_6_0,unknown,1,
2,0,1,0,0,24980,FALSE,Fail,non-novelty-performance,0,1_6_0,unknown,1,
3,0,1,0,0,81180,FALSE,Pass,non-novelty-performance,0,1_6_0,unknown,1,
4,0,1,0,0,46230,FALSE,Pass,non-novelty-performance,0,1_6_0,unknown,1,
5,0,1,0,0,44930,FALSE,Pass,novelty,0,1_6_0,unknown,1,
6,0,1,0,0,76960,FALSE,Pass,novelty,0,1_6_0,unknown,1,
7,0,1,0,0,105150,FALSE,Pass,novelty,0,1_6_0,unknown,1,
8,0,1,0,0,34770,FALSE,Fail,novelty,0,1_6_0,unknown,1,
9,0,1,0,0,29730,FALSE,Fail,novelty,0,1_6_0,unknown,1,
10,0,1,0,0,42720,FALSE,Pass,novelty,0,1_6_0,unknown,1,
11,0,1,0,0,107620,FALSE,Pass,novelty,0,1_6_0,unknown,1,
12,0,1,0,0,76160,FALSE,Fail,novelty,0,1_6_0,unknown,1,
13,0,1,0,0,33150,FALSE,Pass,novelty,0,1_6_0,unknown,1,
14,0,1,0,0,36300,FALSE,Fail,novelty,0,1_6_0,unknown,1,
15,0,1,0,0,44830,FALSE,Fail,novelty,0,1_6_0,unknown,1,
16,0,1,0,0,125250,FALSE,Pass,novelty,0,1_6_0,unknown,1,
17,0,1,0,0,35000,FALSE,Fail,novelty,0,1_6_0,unknown,1,
18,0,1,0,0,29490,FALSE,Pass,novelty,0,1_6_0,unknown,1,
19,0,1,0,0,18760,FALSE,Fail,novelty,0,1_6_0,unknown,1,
20,0,1,0,0,69050,FALSE,Pass,novelty,0,1_6_0,unknown,1,
21,0,1,0,0,39400,FALSE,Fail,novelty,0,1_6_0,unknown,1,
22,0,1,0,0,106070,FALSE,Pass,novelty,0,1_6_0,unknown,1,
23,0,1,0,0,22100,FALSE,Fail,novelty,0,1_6_0,unknown,1,
24,0,1,0,0,177880,FALSE,Pass,novelty,0,1_6_0,unknown,1,
0,0,1,0,0,24600,FALSE,Fail,non-novelty-performance,1,1_7_1,unknown,1,
1,0,1,0,0,39170,FALSE,Pass,non-novelty-performance,1,1_7_1,unknown,1,
2,0,1,0,0,18120,FALSE,Fail,non-novelty-performance,1,1_7_1,unknown,1,
3,0,1,0,0,37750,FALSE,Fail,non-novelty-performance,1,1_7_1,unknown,1,
4,0,1,0,0,21130,FALSE,Fail,non-novelty-performance,1,1_7_1,unknown,1,
5,0,1,0,0,24910,FALSE,Fail,novelty,1,1_7_1,unknown,1,
6,0,1,0,0,26130,FALSE,Fail,novelty,1,1_7_1,unknown,1,
7,0,1,0,0,42850,FALSE,Fail,novelty,1,1_7_1,unknown,1,
8,0,1,0,0,55640,FALSE,Pass,novelty,1,1_7_1,unknown,1,
9,0,1,0,0,136630,FALSE,Pass,novelty,1,1_7_1,unknown,1,
10,0,1,0,0,69890,FALSE,Fail,novelty,1,1_7_1,unknown,1,
11,0,1,0,0,47000,FALSE,Pass,novelty,1,1_7_1,unknown,1,
12,0,1,0,0,61880,FALSE,Pass,novelty,1,1_7_1,unknown,1,
13,0,1,0,0,34210,FALSE,Fail,novelty,1,1_7_1,unknown,1,
14,0,1,0,0,31140,FALSE,Pass,novelty,1,1_7_1,unknown,1,
15,0,1,0,0,126070,FALSE,Pass,novelty,1,1_7_1,unknown,1,
16,0,1,0,0,14670,FALSE,Fail,novelty,1,1_7_1,unknown,1,
17,0,1,0,0,97400,FALSE,Fail,novelty,1,1_7_1,unknown,1,
18,0,1,0,0,54130,FALSE,Pass,novelty,1,1_7_1,unknown,1,
19,0,1,0,0,54160,FALSE,Fail,novelty,1,1_7_1,unknown,1,
20,0,1,0,0,31800,FALSE,Pass,novelty,1,1_7_1,unknown,1,
21,0,1,0,0,54040,FALSE,Pass,novelty,1,1_7_1,unknown,1,
22,0,1,0,0,60340,FALSE,Pass,novelty,1,1_7_1,unknown,1,
23,0,1,0,0,139960,FALSE,Pass,novelty,1,1_7_1,unknown,1,
24,0,1,0,0,52690,FALSE,Fail,novelty,1,1_7_1,unknown,1,
0,0,1,0,0,91030,FALSE,Pass,non-novelty-performance,2,1_8_2,unknown,1,
1,0,1,0,0,97120,FALSE,Fail,non-novelty-performance,2,1_8_2,unknown,1,
2,0,1,0,0,41500,FALSE,Pass,non-novelty-performance,2,1_8_2,unknown,1,
3,0,1,0,0,27500,FALSE,Fail,non-novelty-performance,2,1_8_2,unknown,1,
4,0,1,0,0,38680,FALSE,Fail,non-novelty-performance,2,1_8_2,unknown,1,
5,0,1,0,0,39630,FALSE,Fail,novelty,2,1_8_2,unknown,1,
6,0,1,0,0,46630,FALSE,Pass,novelty,2,1_8_2,unknown,1,
7,0,1,0,0,23980,FALSE,Fail,novelty,2,1_8_2,unknown,1,
8,0,1,0,0,29320,FALSE,Pass,novelty,2,1_8_2,unknown,1,
9,0,1,0,0,107130,FALSE,Pass,novelty,2,1_8_2,unknown,1,
10,0,1,0,0,33640,FALSE,Fail,novelty,2,1_8_2,unknown,1,
11,0,1,0,0,16990,FALSE,Fail,novelty,2,1_8_2,unknown,1,
12,0,1,0,0,40770,FALSE,Fail,novelty,2,1_8_2,unknown,1,
13,0,1,0,0,10530,FALSE,Fail,novelty,2,1_8_2,unknown,1,
14,0,1,0,0,105930,FALSE,Fail,novelty,2,1_8_2,unknown,1,
15,0,1,0,0,50000,FALSE,Pass,novelty,2,1_8_2,unknown,1,
16,0,1,0,0,94320,FALSE,Pass,novelty,2,1_8_2,unknown,1,
17,0,1,0,0,8040,FALSE,Fail,novelty,2,1_8_2,unknown,1,
18,0,1,0,0,117800,FALSE,Pass,novelty,2,1_8_2,unknown,1,
19,0,1,0,0,15270,FALSE,Fail,novelty,2,1_8_2,unknown,1,
20,0,1,0,0,47860,FALSE,Fail,novelty,2,1_8_2,unknown,1,
21,0,1,0,0,12200,FALSE,Fail,novelty,2,1_8_2,unknown,1,
22,0,1,0,0,58610,FALSE,Fail,novelty,2,1_8_2,unknown,1,
23,0,1,0,0,23960,FALSE,Fail,novelty,2,1_8_2,unknown,1,
24,0,1,0,0,63870,FALSE,Pass,novelty,2,1_8_2,unknown,1,
0,0,1,0,0,41350,FALSE,Pass,non-novelty-performance,3,1_9_3,unknown,1,
1,0,1,0,0,63210,FALSE,Fail,non-novelty-performance,3,1_9_3,unknown,1,
2,0,1,0,0,32130,FALSE,Pass,non-novelty-performance,3,1_9_3,unknown,1,
3,0,1,0,0,37590,FALSE,Fail,non-novelty-performance,3,1_9_3,unknown,1,
4,0,1,0,0,18620,FALSE,Fail,non-novelty-performance,3,1_9_3,unknown,1,
5,0,1,0,0,20310,FALSE,Fail,novelty,3,1_9_3,unknown,1,
6,0,1,0,0,23130,FALSE,Fail,novelty,3,1_9_3,unknown,1,
7,0,1,0,0,6520,FALSE,Fail,novelty,3,1_9_3,unknown,1,
8,0,1,0,0,34750,FALSE,Pass,novelty,3,1_9_3,unknown,1,
9,0,1,0,0,48540,FALSE,Pass,novelty,3,1_9_3,unknown,1,
10,0,1,0,0,32370,FALSE,Pass,novelty,3,1_9_3,unknown,1,
11,0,1,0,0,73390,FALSE,Fail,novelty,3,1_9_3,unknown,1,
12,0,1,0,0,37120,FALSE,Fail,novelty,3,1_9_3,unknown,1,
13,0,1,0,0,21270,FALSE,Pass,novelty,3,1_9_3,unknown,1,
14,0,1,0,0,46710,FALSE,Pass,novelty,3,1_9_3,unknown,1,
15,0,1,0,0,8190,FALSE,Fail,novelty,3,1_9_3,unknown,1,
16,0,1,0,0,37760,FALSE,Pass,novelty,3,1_9_3,unknown,1,
17,0,1,0,0,0,FALSE,Fail,novelty,3,1_9_3,unknown,1,
18,0,1,0,0,11770,FALSE,Fail,novelty,3,1_9_3,unknown,1,
19,0,1,0,0,37090,FALSE,Pass,novelty,3,1_9_3,unknown,1,
20,0,1,0,0,0,FALSE,Fail,novelty,3,1_9_3,unknown,1,
21,0,1,0,0,19950,FALSE,Pass,novelty,3,1_9_3,unknown,1,
22,0,1,0,0,37570,FALSE,Pass,novelty,3,1_9_3,unknown,1,
23,0,1,0,0,94390,FALSE,Pass,novelty,3,1_9_3,unknown,1,
24,0,1,0,0,11830,FALSE,Fail,novelty,3,1_9_3,unknown,1,
0,0,1,0,0,0,FALSE,Fail,non-novelty-performance,4,1_10_4,unknown,1,
1,0,1,0,0,12050,FALSE,Fail,non-novelty-performance,4,1_10_4,unknown,1,
2,0,1,0,0,39540,FALSE,Pass,non-novelty-performance,4,1_10_4,unknown,1,
3,0,1,0,0,41380,FALSE,Pass,non-novelty-performance,4,1_10_4,unknown,1,
4,0,1,0,0,93940,FALSE,Fail,non-novelty-performance,4,1_10_4,unknown,1,
5,0,1,0,0,49520,FALSE,Fail,novelty,4,1_10_4,unknown,1,
6,0,1,0,0,95000,FALSE,Pass,novelty,4,1_10_4,unknown,1,
7,0,1,0,0,18980,FALSE,Fail,novelty,4,1_10_4,unknown,1,
8,0,1,0,0,27170,FALSE,Fail,novelty,4,1_10_4,unknown,1,
9,0,1,0,0,94840,FALSE,Pass,novelty,4,1_10_4,unknown,1,
10,0,1,0,0,48400,FALSE,Pass,novelty,4,1_10_4,unknown,1,
11,0,1,0,0,15850,FALSE,Fail,novelty,4,1_10_4,unknown,1,
12,0,1,0,0,11220,FALSE,Fail,novelty,4,1_10_4,unknown,1,
13,0,1,0,0,46710,FALSE,Fail,novelty,4,1_10_4,unknown,1,
14,0,1,0,0,28240,FALSE,Fail,novelty,4,1_10_4,unknown,1,
15,0,1,0,0,94810,FALSE,Fail,novelty,4,1_10_4,unknown,1,
16,0,1,0,0,98460,FALSE,Fail,novelty,4,1_10_4,unknown,1,
17,0,1,0,0,38020,FALSE,Fail,novelty,4,1_10_4,unknown,1,
18,0,1,0,0,50170,FALSE,Fail,novelty,4,1_10_4,unknown,1,
19,0,1,0,0,90490,FALSE,Fail,novelty,4,1_10_4,unknown,1,
20,0,1,0,0,29260,FALSE,Fail,novelty,4,1_10_4,unknown,1,
21,0,1,0,0,69910,FALSE,Fail,novelty,4,1_10_4,unknown,1,
22,0,1,0,0,43300,FALSE,Fail,novelty,4,1_10_4,unknown,1,
23,0,1,0,0,84080,FALSE,Pass,novelty,4,1_10_4,unknown,1,
24,0,1,0,0,96370,FALSE,Pass,novelty,4,1_10_4,unknown,1,
0,0,1,0,0,29660,FALSE,Pass,non-novelty-performance,5,2_6_5,unknown,2,
1,0,1,0,0,0,FALSE,Fail,non-novelty-performance,5,2_6_5,unknown,2,
2,0,1,0,0,29610,FALSE,Pass,non-novelty-performance,5,2_6_5,unknown,2,
3,0,1,0,0,31040,FALSE,Pass,non-novelty-performance,5,2_6_5,unknown,2,
4,0,1,0,0,181980,FALSE,Pass,non-novelty-performance,5,2_6_5,unknown,2,
5,0,1,0,0,115630,FALSE,Pass,novelty,5,2_6_5,unknown,2,
6,0,1,0,0,18730,FALSE,Fail,novelty,5,2_6_5,unknown,2,
7,0,1,0,0,18740,FALSE,Fail,novelty,5,2_6_5,unknown,2,
8,0,1,0,0,26160,FALSE,Fail,novelty,5,2_6_5,unknown,2,
9,0,1,0,0,78730,FALSE,Pass,novelty,5,2_6_5,unknown,2,
10,0,1,0,0,32810,FALSE,Fail,novelty,5,2_6_5,unknown,2,
11,0,1,0,0,27350,FALSE,Fail,novelty,5,2_6_5,unknown,2,
12,0,1,0,0,21370,FALSE,Pass,novelty,5,2_6_5,unknown,2,
13,0,1,0,0,65950,FALSE,Pass,novelty,5,2_6_5,unknown,2,
14,0,1,0,0,17160,FALSE,Fail,novelty,5,2_6_5,unknown,2,
15,0,1,0,0,32850,FALSE,Pass,novelty,5,2_6_5,unknown,2,
16,0,1,0,0,30820,FALSE,Pass,novelty,5,2_6_5,unknown,2,
17,0,1,0,0,48600,FALSE,Pass,novelty,5,2_6_5,unknown,2,
18,0,1,0,0,45580,FALSE,Pass,novelty,5,2_6_5,unknown,2,
19,0,1,0,0,40820,FALSE,Pass,novelty,5,2_6_5,unknown,2,
20,0,1,0,0,45700,FALSE,Pass,novelty,5,2_6_5,unknown,2,
21,0,1,0,0,24520,FALSE,Fail,novelty,5,2_6_5,unknown,2,
22,0,1,0,0,35700,FALSE,Pass,novelty,5,2_6_5,unknown,2,
23,0,1,0,0,31040,FALSE,Fail,novelty,5,2_6_5,unknown,2,
24,0,1,0,0,14000,FALSE,Fail,novelty,5,2_6_5,unknown,2,
0,0,1,0,0,36870,FALSE,Pass,non-novelty-performance,6,2_7_6,unknown,2,
1,0,1,0,0,41450,FALSE,Fail,non-novelty-performance,6,2_7_6,unknown,2,
2,0,1,0,0,38590,FALSE,Fail,non-novelty-performance,6,2_7_6,unknown,2,
3,0,1,0,0,33060,FALSE,Fail,non-novelty-performance,6,2_7_6,unknown,2,
4,0,1,0,0,19450,FALSE,Fail,non-novelty-performance,6,2_7_6,unknown,2,
5,0,1,0,0,42680,FALSE,Fail,novelty,6,2_7_6,unknown,2,
6,0,1,0,0,7990,FALSE,Fail,novelty,6,2_7_6,unknown,2,
7,0,1,0,0,55610,FALSE,Fail,novelty,6,2_7_6,unknown,2,
8,0,1,0,0,2490,FALSE,Fail,novelty,6,2_7_6,unknown,2,
9,0,1,0,0,50590,FALSE,Fail,novelty,6,2_7_6,unknown,2,
10,0,1,0,0,73460,FALSE,Fail,novelty,6,2_7_6,unknown,2,
11,0,1,0,0,87740,FALSE,Fail,novelty,6,2_7_6,unknown,2,
12,0,1,0,0,18800,FALSE,Fail,novelty,6,2_7_6,unknown,2,
13,0,1,0,0,12310,FALSE,Fail,novelty,6,2_7_6,unknown,2,
14,0,1,0,0,102320,FALSE,Fail,novelty,6,2_7_6,unknown,2,
15,0,1,0,0,116140,FALSE,Fail,novelty,6,2_7_6,unknown,2,
16,0,1,0,0,49590,FALSE,Pass,novelty,6,2_7_6,unknown,2,
17,0,1,0,0,86720,FALSE,Pass,novelty,6,2_7_6,unknown,2,
18,0,1,0,0,22760,FALSE,Fail,novelty,6,2_7_6,unknown,2,
19,0,1,0,0,40710,FALSE,Pass,novelty,6,2_7_6,unknown,2,
20,0,1,0,0,33180,FALSE,Fail,novelty,6,2_7_6,unknown,2,
21,0,1,0,0,18590,FALSE,Pass,novelty,6,2_7_6,unknown,2,
22,0,1,0,0,9160,FALSE,Fail,novelty,6,2_7_6,unknown,2,
23,0,1,0,0,83890,FALSE,Pass,novelty,6,2_7_6,unknown,2,
24,0,1,0,0,34670,FALSE,Fail,novelty,6,2_7_6,unknown,2,
0,0,1,0,0,23990,FALSE,Pass,non-novelty-performance,7,2_8_7,unknown,2,
1,0,1,0,0,18930,FALSE,Fail,non-novelty-performance,7,2_8_7,unknown,2,
2,0,1,0,0,33600,FALSE,Fail,non-novelty-performance,7,2_8_7,unknown,2,
3,0,1,0,0,138720,FALSE,Pass,non-novelty-performance,7,2_8_7,unknown,2,
4,0,1,0,0,16720,FALSE,Fail,non-novelty-performance,7,2_8_7,unknown,2,
5,0,1,0,0,13990,FALSE,Fail,novelty,7,2_8_7,unknown,2,
6,0,1,0,0,32600,FALSE,Fail,novelty,7,2_8_7,unknown,2,
7,0,1,0,0,33020,FALSE,Pass,novelty,7,2_8_7,unknown,2,
8,0,1,0,0,60690,FALSE,Fail,novelty,7,2_8_7,unknown,2,
9,0,1,0,0,127690,FALSE,Fail,novelty,7,2_8_7,unknown,2,
10,0,1,0,0,158610,FALSE,Pass,novelty,7,2_8_7,unknown,2,
11,0,1,0,0,62880,FALSE,Fail,novelty,7,2_8_7,unknown,2,
12,0,1,0,0,69310,FALSE,Pass,novelty,7,2_8_7,unknown,2,
13,0,1,0,0,25400,FALSE,Fail,novelty,7,2_8_7,unknown,2,
14,0,1,0,0,2040,FALSE,Fail,novelty,7,2_8_7,unknown,2,
15,0,1,0,0,30170,FALSE,Pass,novelty,7,2_8_7,unknown,2,
16,0,1,0,0,34770,FALSE,Fail,novelty,7,2_8_7,unknown,2,
17,0,1,0,0,18100,FALSE,Fail,novelty,7,2_8_7,unknown,2,
18,0,1,0,0,14770,FALSE,Fail,novelty,7,2_8_7,unknown,2,
19,0,1,0,0,111410,FALSE,Pass,novelty,7,2_8_7,unknown,2,
20,0,1,0,0,57320,FALSE,Fail,novelty,7,2_8_7,unknown,2,
21,0,1,0,0,20120,FALSE,Fail,novelty,7,2_8_7,unknown,2,
22,0,1,0,0,43640,FALSE,Pass,novelty,7,2_8_7,unknown,2,
23,0,1,0,0,44950,FALSE,Pass,novelty,7,2_8_7,unknown,2,
24,0,1,0,0,22560,FALSE,Fail,novelty,7,2_8_7,unknown,2,
0,0,1,0,0,128830,FALSE,Pass,non-novelty-performance,8,2_9_8,unknown,2,
1,0,1,0,0,48070,FALSE,Pass,non-novelty-performance,8,2_9_8,unknown,2,
2,0,1,0,0,43190,FALSE,Pass,non-novelty-performance,8,2_9_8,unknown,2,
3,0,1,0,0,15200,FALSE,Fail,non-novelty-performance,8,2_9_8,unknown,2,
4,0,1,0,0,20850,FALSE,Pass,non-novelty-performance,8,2_9_8,unknown,2,
5,0,1,0,0,81190,FALSE,Fail,novelty,8,2_9_8,unknown,2,
6,0,1,0,0,155300,FALSE,Pass,novelty,8,2_9_8,unknown,2,
7,0,1,0,0,43830,FALSE,Pass,novelty,8,2_9_8,unknown,2,
8,0,1,0,0,29810,FALSE,Fail,novelty,8,2_9_8,unknown,2,
9,0,1,0,0,73420,FALSE,Pass,novelty,8,2_9_8,unknown,2,
10,0,1,0,0,11410,FALSE,Fail,novelty,8,2_9_8,unknown,2,
11,0,1,0,0,33720,FALSE,Pass,novelty,8,2_9_8,unknown,2,
12,0,1,0,0,40790,FALSE,Fail,novelty,8,2_9_8,unknown,2,
13,0,1,0,0,20940,FALSE,Fail,novelty,8,2_9_8,unknown,2,
14,0,1,0,0,46280,FALSE,Pass,novelty,8,2_9_8,unknown,2,
15,0,1,0,0,23410,FALSE,Fail,novelty,8,2_9_8,unknown,2,
16,0,1,0,0,17320,FALSE,Fail,novelty,8,2_9_8,unknown,2,
17,0,1,0,0,154360,FALSE,Pass,novelty,8,2_9_8,unknown,2,
18,0,1,0,0,0,FALSE,Fail,novelty,8,2_9_8,unknown,2,
19,0,1,0,0,16790,FALSE,Fail,novelty,8,2_9_8,unknown,2,
20,0,1,0,0,39850,FALSE,Fail,novelty,8,2_9_8,unknown,2,
21,0,1,0,0,69280,FALSE,Pass,novelty,8,2_9_8,unknown,2,
22,0,1,0,0,27690,FALSE,Fail,novelty,8,2_9_8,unknown,2,
23,0,1,0,0,42060,FALSE,Pass,novelty,8,2_9_8,unknown,2,
24,0,1,0,0,39900,FALSE,Fail,novelty,8,2_9_8,unknown,2,
0,0,1,0,0,44900,FALSE,Fail,non-novelty-performance,9,2_10_9,unknown,2,
1,0,1,0,0,20400,FALSE,Fail,non-novelty-performance,9,2_10_9,unknown,2,
2,0,1,0,0,16570,FALSE,Pass,non-novelty-performance,9,2_10_9,unknown,2,
3,0,1,0,0,139880,FALSE,Fail,non-novelty-performance,9,2_10_9,unknown,2,
4,0,1,0,0,80040,FALSE,Pass,non-novelty-performance,9,2_10_9,unknown,2,
5,0,1,0,0,29730,FALSE,Fail,novelty,9,2_10_9,unknown,2,
6,0,1,0,0,27040,FALSE,Pass,novelty,9,2_10_9,unknown,2,
7,0,1,0,0,29030,FALSE,Fail,novelty,9,2_10_9,unknown,2,
8,0,1,0,0,9080,FALSE,Fail,novelty,9,2_10_9,unknown,2,
