episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,notify_novelty,pass,episode_type,trial_num,novelty_id,trial_type,level
0,0,1,0,0,54240,FALSE,Fail,non-novelty-performance,0,1_6_0,unknown,1
1,0,1,0,0,103320,FALSE,Pass,non-novelty-performance,0,1_6_0,unknown,1
2,0,1,0,0,19420,FALSE,Fail,non-novelty-performance,0,1_6_0,unknown,1
3,0,1,0,0,35090,FALSE,Fail,non-novelty-performance,0,1_6_0,unknown,1
4,0,1,0,0,34000,FALSE,Fail,non-novelty-performance,0,1_6_0,unknown,1
5,0,1,0,0,37000,FALSE,Pass,novelty,0,1_6_0,unknown,1
6,0,1,0,0,53880,FALSE,Fail,novelty,0,1_6_0,unknown,1
7,1,1,0,0,17520,FALSE,Fail,novelty,0,1_6_0,unknown,1
8,1,1,0,0,41100,FALSE,Fail,novelty,0,1_6_0,unknown,1
9,1,1,0,0,39770,FALSE,Fail,novelty,0,1_6_0,unknown,1
10,1,1,0,0,30980,FALSE,Fail,novelty,0,1_6_0,unknown,1
11,1,1,0,0,39780,FALSE,Fail,novelty,0,1_6_0,unknown,1
12,1,1,0,0,78510,FALSE,Fail,novelty,0,1_6_0,unknown,1
13,1,1,0,0,77520,FALSE,Pass,novelty,0,1_6_0,unknown,1
14,1,1,0,0,110230,FALSE,Pass,novelty,0,1_6_0,unknown,1
15,1,1,0,0,31910,FALSE,Fail,novelty,0,1_6_0,unknown,1
16,1,1,0,0,36760,FALSE,Pass,novelty,0,1_6_0,unknown,1
17,1,1,0,0,33190,FALSE,Fail,novelty,0,1_6_0,unknown,1
18,1,1,0,0,30220,FALSE,Pass,novelty,0,1_6_0,unknown,1
19,1,1,0,0,73370,FALSE,Fail,novelty,0,1_6_0,unknown,1
20,1,1,0,0,47500,FALSE,Fail,novelty,0,1_6_0,unknown,1
21,1,1,0,0,92520,FALSE,Pass,novelty,0,1_6_0,unknown,1
22,1,1,0,0,27790,FALSE,Fail,novelty,0,1_6_0,unknown,1
23,1,1,0,0,120020,FALSE,Pass,novelty,0,1_6_0,unknown,1
24,1,1,0,0,35290,FALSE,Fail,novelty,0,1_6_0,unknown,1
0,0,1,0,0,18450,FALSE,Fail,non-novelty-performance,1,1_7_1,unknown,1
1,0,1,0,0,34330,FALSE,Fail,non-novelty-performance,1,1_7_1,unknown,1
2,0,1,0,0,62240,FALSE,Fail,non-novelty-performance,1,1_7_1,unknown,1
3,0,1,0,0,81670,FALSE,Pass,non-novelty-performance,1,1_7_1,unknown,1
4,0,1,0,0,14710,FALSE,Fail,non-novelty-performance,1,1_7_1,unknown,1
5,0,1,0,0,99600,FALSE,Pass,novelty,1,1_7_1,unknown,1
6,0,1,0,0,88230,FALSE,Pass,novelty,1,1_7_1,unknown,1
7,0,1,0,0,50080,FALSE,Fail,novelty,1,1_7_1,unknown,1
8,0,1,0,0,34810,FALSE,Pass,novelty,1,1_7_1,unknown,1
9,0,1,0,0,38180,FALSE,Fail,novelty,1,1_7_1,unknown,1
10,1,1,0,0,131260,FALSE,Pass,novelty,1,1_7_1,unknown,1
11,1,1,0,0,157020,FALSE,Pass,novelty,1,1_7_1,unknown,1
12,1,1,0,0,42430,FALSE,Pass,novelty,1,1_7_1,unknown,1
13,1,1,0,0,29720,FALSE,Fail,novelty,1,1_7_1,unknown,1
14,1,1,0,0,42250,FALSE,Fail,novelty,1,1_7_1,unknown,1
15,1,1,0,0,78870,FALSE,Pass,novelty,1,1_7_1,unknown,1
16,1,1,0,0,31930,FALSE,Fail,novelty,1,1_7_1,unknown,1
17,1,1,0,0,45720,FALSE,Fail,novelty,1,1_7_1,unknown,1
18,1,1,0,0,32900,FALSE,Fail,novelty,1,1_7_1,unknown,1
19,1,1,0,0,42970,FALSE,Pass,novelty,1,1_7_1,unknown,1
20,1,1,0,0,14640,FALSE,Fail,novelty,1,1_7_1,unknown,1
21,1,1,0,0,47460,FALSE,Fail,novelty,1,1_7_1,unknown,1
22,1,1,0,0,53160,FALSE,Fail,novelty,1,1_7_1,unknown,1
23,1,1,0,0,64660,FALSE,Fail,novelty,1,1_7_1,unknown,1
24,1,1,0,0,13020,FALSE,Fail,novelty,1,1_7_1,unknown,1
0,0,1,0,0,40960,FALSE,Pass,non-novelty-performance,2,1_8_2,unknown,1
1,0,1,0,0,52860,FALSE,Fail,non-novelty-performance,2,1_8_2,unknown,1
2,0,1,0,0,18170,FALSE,Fail,non-novelty-performance,2,1_8_2,unknown,1
3,0,1,0,0,10310,FALSE,Fail,non-novelty-performance,2,1_8_2,unknown,1
4,0,1,0,0,25500,FALSE,Fail,non-novelty-performance,2,1_8_2,unknown,1
5,0,1,0,0,82290,FALSE,Pass,novelty,2,1_8_2,unknown,1
6,0,1,0,0,114350,FALSE,Pass,novelty,2,1_8_2,unknown,1
7,0,1,0,0,22180,FALSE,Fail,novelty,2,1_8_2,unknown,1
8,1,1,0,0,76610,FALSE,Pass,novelty,2,1_8_2,unknown,1
9,1,1,0,0,14480,FALSE,Fail,novelty,2,1_8_2,unknown,1
10,1,1,0,0,29110,FALSE,Fail,novelty,2,1_8_2,unknown,1
11,1,1,0,0,66240,FALSE,Fail,novelty,2,1_8_2,unknown,1
12,1,1,0,0,16680,FALSE,Fail,novelty,2,1_8_2,unknown,1
13,1,1,0,0,19020,FALSE,Fail,novelty,2,1_8_2,unknown,1
14,1,1,0,0,59780,FALSE,Fail,novelty,2,1_8_2,unknown,1
15,1,1,0,0,65140,FALSE,Pass,novelty,2,1_8_2,unknown,1
16,1,1,0,0,33080,FALSE,Pass,novelty,2,1_8_2,unknown,1
17,1,1,0,0,64930,FALSE,Fail,novelty,2,1_8_2,unknown,1
18,1,1,0,0,30110,FALSE,Fail,novelty,2,1_8_2,unknown,1
19,1,1,0,0,41810,FALSE,Fail,novelty,2,1_8_2,unknown,1
20,1,1,0,0,35090,FALSE,Fail,novelty,2,1_8_2,unknown,1
21,1,1,0,0,32170,FALSE,Pass,novelty,2,1_8_2,unknown,1
22,1,1,0,0,21290,FALSE,Fail,novelty,2,1_8_2,unknown,1
23,1,1,0,0,55850,FALSE,Pass,novelty,2,1_8_2,unknown,1
24,1,1,0,0,41190,FALSE,Pass,novelty,2,1_8_2,unknown,1
0,0,1,0,0,49530,FALSE,Pass,non-novelty-performance,3,1_9_3,unknown,1
1,0,1,0,0,76030,FALSE,Fail,non-novelty-performance,3,1_9_3,unknown,1
2,0,1,0,0,35970,FALSE,Fail,non-novelty-performance,3,1_9_3,unknown,1
3,0,1,0,0,23580,FALSE,Fail,non-novelty-performance,3,1_9_3,unknown,1
4,0,1,0,0,14320,FALSE,Fail,non-novelty-performance,3,1_9_3,unknown,1
5,0,1,0,0,28140,FALSE,Fail,novelty,3,1_9_3,unknown,1
6,0,1,0,0,29710,FALSE,Fail,novelty,3,1_9_3,unknown,1
7,0,1,0,0,35730,FALSE,Fail,novelty,3,1_9_3,unknown,1
8,0,1,0,0,108170,FALSE,Fail,novelty,3,1_9_3,unknown,1
9,0,1,0,0,7860,FALSE,Fail,novelty,3,1_9_3,unknown,1
10,0,1,0,0,53660,FALSE,Fail,novelty,3,1_9_3,unknown,1
11,0,1,0,0,34800,FALSE,Pass,novelty,3,1_9_3,unknown,1
12,0,1,0,0,28400,FALSE,Pass,novelty,3,1_9_3,unknown,1
13,0,1,0,0,71670,FALSE,Fail,novelty,3,1_9_3,unknown,1
14,0,1,0,0,33760,FALSE,Pass,novelty,3,1_9_3,unknown,1
15,0,1,0,0,43250,FALSE,Pass,novelty,3,1_9_3,unknown,1
16,0,1,0,0,25130,FALSE,Fail,novelty,3,1_9_3,unknown,1
17,0,1,0,0,37110,FALSE,Pass,novelty,3,1_9_3,unknown,1
18,0,1,0,0,17720,FALSE,Fail,novelty,3,1_9_3,unknown,1
19,1,1,0,0,23370,FALSE,Pass,novelty,3,1_9_3,unknown,1
20,1,1,0,0,31860,FALSE,Pass,novelty,3,1_9_3,unknown,1
21,1,1,0,0,67110,FALSE,Pass,novelty,3,1_9_3,unknown,1
22,1,1,0,0,36620,FALSE,Pass,novelty,3,1_9_3,unknown,1
