trial_id,trial_number,level,episode_number,performance,trial_type,episode_type,novelty_level,novelty_type,novelty_threshold,episode_start_time,planning_time,explored_states,repair_calls,repair_time,plan_action_length,timed_out,success,nn_prob,pddl_prob,reward_prob,novelty_detected,novelty_characterization,default_action_used,num_objects,shot_count,plan_total_time,cumulative_plan_time,rewards_per_shot,repair_description,unknown_obj
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00283_1_0_23_0.xml,0,6000.0,unknown,non-novelty-performance,0,Levels,1,76003.206088141,11.08533155299665,2014,0,0.0,2,False,Pass,-1.0,[5.866849800000011],[],False,{},False,0,0,7.325,11.08533155299665,[6000],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00280_1_0_23_0.xml,1,6160.0,unknown,non-novelty-performance,0,Levels,1,76097.761958546,7.844446403993061,2145,0,0.0,2,False,Pass,-1.0,[6.505933053999996],[],False,{},False,0,0,7.025,7.844446403993061,[6160],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00200_1_0_23_0.xml,2,6090.0,unknown,non-novelty-performance,0,Levels,1,76187.97411647,7.948466568996082,2131,0,0.0,2,False,Pass,-1.0,[5.997057927599997],[],False,{},False,0,0,7.125,7.948466568996082,[6090],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00199_1_0_23_0.xml,3,6040.0,unknown,non-novelty-performance,0,Levels,1,76275.421920463,5.472839193011168,2125,0,0.0,2,False,Pass,-1.0,[5.9154279759999895],[],False,{},False,0,0,7.575,5.472839193011168,[6040],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00302_1_0_23_0.xml,4,6000.0,unknown,non-novelty-performance,0,Levels,1,76363.374015641,7.034956417002832,2081,0,0.0,2,False,Pass,-1.0,[5.879943376],[],False,{},False,0,0,7.2,7.034956417002832,[6000],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00161_1_0_23_0.xml,5,6100.0,unknown,non-novelty-performance,0,Levels,1,76451.773955615,6.808200717990985,2559,1,25.590596437454224,2,False,Pass,-1.0,[56.61427944440001],[],False,{},False,0,0,6.85,6.808200717990985,[6100],"[['Repair gravity_factor, -0.10', 'Repair v_bird_change, 0.00', 'Repair base_life_pig_multiplier, 0.00']]",[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00076_1_0_23_0.xml,6,960.0,unknown,non-novelty-performance,0,Levels,1,76561.965878684,5.618292401006329,2103,1,160.39900612831116,2,False,Fail,-1.0,[53.891558325700004],[],False,{},False,0,0,7.575,5.618292401006329,[960],"[['Repair gravity_factor, 0.00', 'Repair v_bird_change, 2.00', 'Repair base_life_pig_multiplier, 100.00']]",[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00344_1_0_3_2.xml,7,80.0,unknown,novelty,novelty,Levels,1,76809.64595714,11.489656499994453,2158,1,182.3129584789276,2,False,Fail,-1.0,[59.689649338066666],[],False,{},False,0,0,7.45,11.489656499994453,[80],"[['Repair gravity_factor, 0.50', 'Repair v_bird_change, -4.00', 'Repair base_life_pig_multiplier, 0.00']]",[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00304_1_0_3_2.xml,8,1010.0,unknown,novelty,novelty,Levels,1,77085.87008605,6.710119265000685,1913,0,0.0,2,False,Fail,-1.0,[44.80214080406666],[],False,{},False,0,0,7.325,6.710119265000685,[1010],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00264_1_0_3_2.xml,9,0.0,unknown,novelty,novelty,Levels,1,77175.249875165,6.2408191510039615,2100,0,0.0,2,False,Fail,-1.0,[40.9602490346],[],False,{},False,0,0,7.0,6.2408191510039615,[0],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00236_1_0_3_2.xml,10,800.0,unknown,novelty,novelty,Levels,1,77260.793982924,7.213011222003843,1727,0,0.0,2,False,Fail,-1.0,[45.58036660626667],[],False,{},False,0,0,7.475,7.213011222003843,[800],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00043_1_0_3_2.xml,11,900.0,unknown,novelty,novelty,Levels,1,77350.230187855,6.896547113996348,2046,0,0.0,2,False,Fail,-1.0,[43.788320424000005],[],False,{},False,0,0,7.3,6.896547113996348,[900],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00060_1_0_3_2.xml,12,0.0,unknown,novelty,novelty,Levels,1,77439.29002125,10.140966168997693,2032,0,0.0,2,False,Fail,-1.0,[43.45498709066667],[],False,{},False,0,0,7.375,10.140966168997693,[0],[],[False]
