trial_id,trial_number,level,episode_number,performance,trial_type,episode_type,novelty_level,novelty_type,novelty_threshold,episode_start_time,planning_time,explored_states,repair_calls,repair_time,plan_action_length,timed_out,success,nn_prob,pddl_prob,reward_prob,novelty_detected,novelty_characterization,default_action_used,num_objects,shot_count,plan_total_time,cumulative_plan_time,rewards_per_shot,repair_description,unknown_obj
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00091_1_0_23_0.xml,0,410.0,unknown,non-novelty-performance,0,Levels,1,81326.906543654,30.096737207990373,15977,0,0.0,0,False,Fail,-1.0,[None],[],False,{},True,0,0,0.0,30.096737207990373,[410],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00344_1_0_23_0.xml,1,6050.0,unknown,non-novelty-performance,0,Levels,1,81434.613985428,3.2819077000021935,2221,0,0.0,2,False,Pass,-1.0,[6.505933053999996],[],False,{},False,0,0,7.15,3.2819077000021935,[6050],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00306_1_0_23_0.xml,2,6190.0,unknown,non-novelty-performance,0,Levels,1,81515.438511678,3.736636992005515,2161,0,0.0,2,False,Pass,-1.0,[7.213452831900014],[],False,{},False,0,0,7.275,3.736636992005515,[6190],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00237_1_0_23_0.xml,3,1330.0,unknown,non-novelty-performance,0,Levels,1,81595.934507784,30.12571953999577,12278,0,0.0,0,False,Fail,-1.0,[None],[],False,{},True,0,0,0.0,30.12571953999577,[1330],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00171_1_0_23_0.xml,4,6050.0,unknown,non-novelty-performance,0,Levels,1,81678.974054406,3.6260127470013686,2223,0,0.0,2,False,Pass,-1.0,[5.849196567999996],[],False,{},False,0,0,7.45,3.6260127470013686,[6050],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00016_1_0_23_0.xml,5,6000.0,unknown,non-novelty-performance,0,Levels,1,81761.062502747,5.707768765991204,2215,0,0.0,2,False,Pass,-1.0,[5.997057927599997],[],False,{},False,0,0,7.15,5.707768765991204,[6000],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_0/type1230/Levels/00331_1_0_23_0.xml,6,500.0,unknown,non-novelty-performance,0,Levels,1,81845.618568106,2.849280968992389,1979,0,0.0,2,False,Fail,-1.0,[5.849196567999996],[],False,{},False,0,0,7.125,2.849280968992389,[500],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00242_1_0_3_2.xml,7,0.0,unknown,novelty,novelty,Levels,1,81926.598602831,2.945682981997379,2117,1,181.66682147979736,2,False,Fail,-1.0,[105.48413676533335],[],False,{},False,0,0,7.475,2.945682981997379,[0],"[['Repair gravity_factor, 0.40', 'Repair v_bird_change, -19.00', 'Repair base_life_pig_multiplier, 0.00']]",[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00147_1_0_3_2.xml,8,1200.0,unknown,novelty,novelty,Levels,1,82189.1545377,2.924395983995055,2027,0,0.0,2,False,Fail,-1.0,[14.131317343333325],[],False,{},False,0,0,6.75,2.924395983995055,[1200],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00302_1_0_3_2.xml,9,1630.0,unknown,novelty,novelty,Levels,1,82269.314421437,2.891762100000051,2030,1,78.17692852020264,2,False,Fail,-1.0,[63.271648876],[],False,{},False,0,0,6.75,2.891762100000051,[1630],"[['Repair gravity_factor, 0.00', 'Repair v_bird_change, -6.00', 'Repair base_life_pig_multiplier, 0.00']]",[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00024_1_0_3_2.xml,10,0.0,unknown,novelty,novelty,Levels,1,82430.246527452,30.138645662998897,20391,0,0.0,0,False,Fail,-1.0,[None],[],False,{},True,0,0,0.0,30.138645662998897,[0],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00276_1_0_3_2.xml,11,0.0,unknown,novelty,novelty,Levels,1,82525.534586728,30.168503253997187,11295,0,0.0,0,False,Fail,-1.0,[None],[],False,{},True,0,0,0.0,30.168503253997187,[0],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00196_1_0_3_2.xml,12,5500.0,unknown,novelty,novelty,Levels,1,82627.382609113,5.391976327999146,2196,0,0.0,2,False,Pass,-1.0,[1.6954782139999907],[],False,{},False,0,0,6.5,5.391976327999146,[5500],[],[False]
0_30_novelty_level_12_type30_non-novelty_type1230,0,9001_Data/StreamingAssets/Levels/novelty_level_12/type30/Levels/00035_1_0_3_2.xml,13,6000.0,unknown,novelty,novelty,Levels,1,82710.766441299,3.5360731089895125,1956,0,0.0,2,False,Pass,-1.0,[2.228867573799988],[],False,{},False,0,0,6.775,3.5360731089895125,[6000],[],[False]
