episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.21829411445890978,0.8,0,{},1.0,0,length_1point1_gravity_12,unknown,non-novelty-performance,1,"{'length': 1.1, 'gravity': 12}"
1,0.8122310351265256,0.8,0,{},1.0,0,length_1point1_gravity_12,unknown,non-novelty-performance,1,"{'length': 1.1, 'gravity': 12}"
2,0.9542386561736195,0.8,0,{},1.0,0,length_1point1_gravity_12,unknown,non-novelty-performance,1,"{'length': 1.1, 'gravity': 12}"
3,0.9816933293985338,0.8,0,{},1.0,0,length_1point1_gravity_12,unknown,non-novelty-performance,1,"{'length': 1.1, 'gravity': 12}"
4,0.36453452117793195,0.8,0,{},1.0,0,length_1point1_gravity_12,unknown,non-novelty-performance,1,"{'length': 1.1, 'gravity': 12}"
5,0.7854051756766514,0.8,0,{},1.0,0,length_1point1_gravity_12,unknown,non-novelty-performance,1,"{'length': 1.1, 'gravity': 12}"
6,0.01686579876436667,0.8,0,{},1.0,0,length_1point1_gravity_12,unknown,non-novelty-performance,1,"{'length': 1.1, 'gravity': 12}"
7,0.14137339596807708,0.8,0,{},0.075,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
8,0.35654995960962876,0.8,0,{},0.48,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
9,0.15747592318385217,0.8,0,{},0.465,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
10,0.5660677705898832,0.8,0,{},0.075,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
11,0.39699464863301215,0.8,0,{},0.07,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
12,0.4883197235688074,0.8,0,{},0.075,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
13,0.1979390451723152,0.8,0,{},0.075,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
14,0.12165736909588076,0.8,0,{},0.495,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
15,0.17740616470804993,0.8,0,{},0.42,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
16,0.533018874476304,0.8,0,{},0.595,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
17,0.17182487074174901,0.8,0,{},0.48,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
18,0.49570677778808225,0.8,0,{},0.085,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
19,0.7128203702214931,0.8,0,{},0.08,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
20,0.8594332472373885,0.8,0,{},0.075,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
21,0.7035785774778348,0.8,0,{},0.075,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
22,0.886252415693146,0.8,0,{},0.085,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
23,0.3230002895773251,0.8,0,{},0.29,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
24,0.09550770768245109,0.8,0,{},0.23,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
25,0.9760220317442706,0.8,0,{},0.215,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
26,0.11638380947383542,0.8,0,{},0.195,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
27,0.359888926849692,0.8,0,{},0.355,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
28,0.5463254998048764,0.8,0,{},0.075,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
29,0.11238779368633833,0.8,0,{},0.075,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
30,0.9809885893683554,0.8,0,{},0.08,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
31,0.6007403076749632,0.8,0,{},0.44,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
32,0.8483870451487454,0.8,0,{},0.22,0,length_1point1_gravity_12,unknown,novelty,1,"{'length': 1.1, 'gravity': 12}"
