episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.2459640174295803,0.8,0,{},1.385,0,length_point2,unknown,non-novelty-performance,1,{'length': 0.2}
1,0.11934662860071954,0.8,0,{},2.5,0,length_point2,unknown,novelty,1,{'length': 0.2}
0,0.46962697439472645,0.8,0,{},1.32,0,length_point2,known,non-novelty-performance,1,{'length': 0.2}
1,0.4404295290347737,0.8,0,{},2.5,0,length_point2,known,novelty,1,{'length': 0.2}
episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.4288673462897785,0.8,0,{},1.0,0,length_point2,unknown,non-novelty-performance,1,{'length': 0.2}
1,0.7318354546020633,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,{'length': 0.2}
0,0.45652022507258516,0.8,0,{},1.0,0,length_point2,known,non-novelty-performance,1,{'length': 0.2}
1,0.8410597323342011,0.8,0,{},1.0,0,length_point2,known,novelty,1,{'length': 0.2}
episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.4395800628977623,0.8,0,{},1.0,0,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
1,0.10138228547030947,0.8,0,{},1.0,0,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
2,0.5246267285669811,0.8,0,{},1.0,0,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
3,0.9281735144512244,0.8,0,{},1.0,0,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
4,0.0656763996959,0.8,0,{},1.0,0,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
5,0.3052699710907234,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
6,0.5492166869180101,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
7,0.6957799960234642,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
8,0.031016372259556446,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
9,0.1296119132260969,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
10,0.32020878924964036,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
11,0.917940103832701,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
12,0.6211272636617698,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
13,0.022496789291305497,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
14,0.18643022818933708,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
15,0.6592336130373315,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
16,0.8330535080114609,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
17,0.312462943176257,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
18,0.5280774806134303,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
19,0.3028867496851336,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
20,0.3023011234793791,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
21,0.5077734614274284,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
22,0.486386884846136,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
23,0.9953846090628602,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
24,0.06760222703891405,0.8,0,{},1.0,0,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
0,0.7867913421534634,0.8,0,{},1.0,1,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
1,0.9879602084701697,0.8,0,{},1.0,1,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
2,0.42392121186409504,0.8,0,{},1.0,1,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
3,0.8632659723120788,0.8,0,{},1.0,1,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
4,0.15363739482451066,0.8,0,{},1.0,1,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
5,0.23302803454346732,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
6,0.16689675561501505,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
7,0.13373433940554869,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
8,0.2323879493711457,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
9,0.04153518461150418,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
10,0.12259178413938943,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
11,0.4439484966228693,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
12,0.8016976096489614,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
13,0.1694337175104914,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
14,0.38037606199380314,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
15,0.3699271562275439,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
16,0.38718915678665644,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
17,0.5538589979228647,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
18,0.7370528654692182,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
19,0.8518889474315174,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
20,0.12205922060034402,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
21,0.5874838358827784,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
22,0.723999579744451,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
23,0.7113757471264581,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
24,0.5247453186028274,0.8,0,{},1.0,1,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
0,0.9457580515847505,0.8,0,{},1.0,2,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
1,0.1492875492977086,0.8,0,{},1.0,2,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
2,0.719501818509519,0.8,0,{},1.0,2,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
3,0.29060930503160876,0.8,0,{},1.0,2,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
4,0.7942138217232976,0.8,0,{},1.0,2,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
5,0.3254239120450647,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
6,0.7161754244930878,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
7,0.1239905584588532,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
8,0.6479717550331442,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
9,0.3751129096271797,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
10,0.7405241453889189,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
11,0.41107238018811965,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
12,0.17195980281209478,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
13,0.7884700202574183,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
14,0.8191553244639861,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
15,0.29103383908528035,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
16,0.3104050854513829,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
17,0.5057293569131335,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
18,0.11058400171768734,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
19,0.5489929334767465,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
20,0.6567673176041641,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
21,0.12262254242540882,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
22,0.33958614786735697,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
23,0.1418209773151714,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
24,0.026168341183555044,0.8,0,{},1.0,2,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
0,0.08038964127849546,0.8,0,{},1.0,3,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
1,0.44544091697848986,0.8,0,{},1.0,3,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
2,0.8840700548668736,0.8,0,{},1.0,3,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
3,0.3808338807501287,0.8,0,{},1.0,3,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
4,0.1324491392531304,0.8,0,{},1.0,3,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
5,0.4151295132508206,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
6,0.3517854516596911,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
7,0.8958889668061484,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
8,0.09068065867253938,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
9,0.21242068673109493,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
10,0.3278265642882874,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
11,0.9699349394786795,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
12,0.09971923349313594,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
13,0.6582644902860036,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
14,0.8060953009592315,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
15,0.2957188832841615,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
16,0.3765908275652414,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
17,0.8797469067015183,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
18,0.1856585705624535,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
19,0.35886376292743283,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
20,0.5950092285838904,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
21,0.30937436143767383,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
22,0.7335463681135667,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
23,0.6190570313802113,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
24,0.9832827351165183,0.8,0,{},1.0,3,length_point2,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
0,0.33795585854046084,0.8,0,{},1.0,4,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
1,0.47768078626133403,0.8,0,{},1.0,4,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
2,0.8267545892739643,0.8,0,{},1.0,4,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
3,0.2046021601569714,0.8,0,{},1.0,4,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
4,0.9037455752825028,0.8,0,{},1.0,4,length_point2,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
