episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.48772521502703214,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
1,0.46060509396134386,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
2,0.8773535124893552,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
3,0.3440717005784203,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
4,0.8846772438615614,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
5,0.3718346244426882,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
6,0.6594562322591238,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
7,0.06655855857638338,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
8,0.04497270182243562,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
9,0.09626428866007619,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
10,0.8139918527015579,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
11,0.14500307888980035,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
12,0.9846905308477883,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
13,0.9312787856740656,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
14,0.7853515636113184,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
15,0.6187512816099784,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
16,0.405451898675098,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
17,0.7086547104786118,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
18,0.4182514519163134,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
19,0.053568889717921175,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
20,0.06048440365585184,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
21,0.09753636102707797,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
22,0.11411693999115835,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
23,0.4661763650649031,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
24,0.048387420330477826,0.8,0,{},1.0,0,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
0,0.13171548302904246,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
1,0.5381465632313758,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
2,0.9992646540305304,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
3,0.257883029625005,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
4,0.6344330413715493,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
5,0.5991460182601867,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
6,0.8951834997957236,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
7,0.08201329511587752,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
8,0.5522713713857895,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
9,0.3938161214054,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
10,0.016042466237060626,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
11,0.7135553582352951,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
12,0.4207543450421054,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
13,0.38337357919630877,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
14,0.8037710590123784,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
15,0.9131143203301297,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
16,0.8377131365636925,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
17,0.6668969684395037,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
18,0.08739908705384924,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
19,0.1406241654952719,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
20,0.38152716127671293,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
21,0.937453907457629,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
22,0.514001673573874,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
23,0.7475601069145426,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
24,0.39851406069354767,0.8,0,{},1.0,1,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
0,0.5109062177681892,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
1,0.013584487825565539,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
2,0.3123943222902318,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
3,0.040168024440222494,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
4,0.9271644135480793,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5}"
5,0.30854765517995475,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
6,0.2722192289441846,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
7,0.41891489681313776,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
8,0.9982150356291467,0.8,0,{},1.0,2,length_point2_masscart_point5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5}"
