episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.6391109714999252,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
1,0.17100842642134662,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
2,0.47000642284475824,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
3,0.8011935162987173,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
4,0.8167570122089591,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
5,0.7271078380013849,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
6,0.6126749518814517,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
7,0.624061831629387,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
8,0.13254435087445748,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
9,0.9939932022007434,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
10,0.6616361562941823,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
11,0.5419416099453999,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
12,0.47965031563649163,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
13,0.9817305359047305,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
14,0.627840054293184,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
15,0.024177362923525347,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
16,0.6909928867171167,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
17,0.023535377609759656,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
18,0.9584491163244153,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
19,0.866006406600886,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
20,0.9973228432418831,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
21,0.2579275692349199,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
22,0.7677511869856513,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
23,0.5004674877323138,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
24,0.6580563550284756,0.8,0,{},1.0,0,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
0,0.6034108048172057,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
1,0.992159137124175,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
2,0.31950220829256737,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
3,0.1724730266092679,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
4,0.6839421661986964,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
5,0.870469059072647,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
6,0.949179757109318,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
7,0.026105316216274543,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
8,0.5305128862767606,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
9,0.9371389254323277,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
10,0.07804992035358305,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
11,0.40196385715229,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
12,0.2060898329036993,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
13,0.9145116077688673,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
14,0.8671916948229358,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
15,0.8822445546191076,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
16,0.1314934037189851,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
17,0.14109802837013175,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
18,0.4976388737801599,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
19,0.832260236250779,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
20,0.8982442882379431,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
21,0.0030845350753354595,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
22,0.2796917194444607,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
23,0.6563680674602727,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
24,0.8441714107415884,0.8,0,{},1.0,1,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
0,0.25945115797177853,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
1,0.2609905766279197,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
2,0.2206209022367187,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
3,0.20853273389214677,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
4,0.3275469167290641,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
5,0.04608339691366725,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
6,0.8231730714800009,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
7,0.4030254712488506,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
8,0.19660136603657918,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
9,0.6790080406174417,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
10,0.8541003105151145,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
11,0.6953960083874412,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
12,0.05518882839901229,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
13,0.6991078979698927,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
14,0.8351685408644115,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
15,0.038569788169987795,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
16,0.7804756998318353,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
17,0.7192866604965948,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
18,0.2814049207076731,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
19,0.6724643896828266,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
20,0.19925345252548943,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
21,0.2483716062840441,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
22,0.44613537509062196,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
23,0.4606734595501364,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
24,0.48769176648370727,0.8,0,{},1.0,2,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
0,0.6334998601338966,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
1,0.2785786772066934,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
2,0.679612893819013,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
3,0.5489086810505757,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
4,0.87048606226482,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
5,0.4677785953242152,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
6,0.49739165253926887,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
7,0.6371185223481242,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
8,0.6691852613147129,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
9,0.8261974568172409,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
10,0.45363319232161425,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
11,0.4457828591168389,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
12,0.5360132031002859,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
13,0.6079543355879243,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
14,0.6540368955174988,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
15,0.4544052906715219,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
16,0.9624112363848225,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
17,0.4195194867874562,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
18,0.8570874968232558,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
19,0.512061827111635,0.8,0,{},1.0,3,length_point2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 0.2, 'masscart': 0.5, 'gravity': 5}"
