episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.29,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
1,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.525,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
2,1.0,0.999999,0,{},0.255,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
3,1.0,0.999999,0,{},0.265,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
4,1.0,0.999999,0,{},0.38,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
5,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.185,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
6,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.225,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
7,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.275,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
8,1.0,0.999999,0,{},0.26,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
9,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.24,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
10,1.0,0.999999,0,{},0.25,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
11,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.295,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
12,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.24,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
13,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.49,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
14,1.0,0.999999,0,{},0.255,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
15,1.0,0.999999,0,{},0.385,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
16,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.175,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
17,1.0,0.999999,0,{},0.38,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
18,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.18,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
19,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.485,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
20,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.495,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
21,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.17,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
22,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.235,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
23,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.24,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
24,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.3,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
25,1.0,0.999999,0,"{""gravity"": 0}",0.4,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
26,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.27,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
27,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.24,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
28,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.235,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
29,1.0,0.999999,0,"{""Unknown novelty"": ""no adjustments made""}",0.35,0,length_1point1_gravity_12,known,novelty,1,"{'length': 1.1, 'gravity': 12}"
