episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.0,0.999999,0,{},1.0,0,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
1,0.0,0.999999,0,{},1.0,0,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
2,0.0,0.999999,0,{},1.0,0,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
3,0.0,0.999999,0,{},1.0,0,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
4,0.0,0.999999,0,{},1.0,0,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
5,0.0,0.999999,0,{},0.12,0,length_5_4,unknown,novelty,1,{'length': 0.25}
6,0.0,0.999999,0,{},0.175,0,length_5_4,unknown,novelty,1,{'length': 0.25}
7,0.0,0.999999,0,{},0.145,0,length_5_4,unknown,novelty,1,{'length': 0.25}
8,0.0,0.999999,0,{},0.19,0,length_5_4,unknown,novelty,1,{'length': 0.25}
9,0.0,0.999999,0,{},0.12,0,length_5_4,unknown,novelty,1,{'length': 0.25}
10,0.0,0.999999,0,{},0.14,0,length_5_4,unknown,novelty,1,{'length': 0.25}
11,0.0,0.999999,0,{},0.135,0,length_5_4,unknown,novelty,1,{'length': 0.25}
12,0.0,0.999999,0,{},0.17,0,length_5_4,unknown,novelty,1,{'length': 0.25}
13,0.0,0.999999,0,{},0.175,0,length_5_4,unknown,novelty,1,{'length': 0.25}
14,0.0,0.999999,0,{},0.175,0,length_5_4,unknown,novelty,1,{'length': 0.25}
15,0.0,0.999999,0,{},0.42,0,length_5_4,unknown,novelty,1,{'length': 0.25}
16,0.0,0.999999,0,{},0.125,0,length_5_4,unknown,novelty,1,{'length': 0.25}
17,0.0,0.999999,0,{},0.185,0,length_5_4,unknown,novelty,1,{'length': 0.25}
18,0.0,0.999999,0,{},0.13,0,length_5_4,unknown,novelty,1,{'length': 0.25}
19,0.0,0.999999,0,{},0.135,0,length_5_4,unknown,novelty,1,{'length': 0.25}
20,0.0,0.999999,0,{},0.155,0,length_5_4,unknown,novelty,1,{'length': 0.25}
21,0.0,0.999999,0,{},0.105,0,length_5_4,unknown,novelty,1,{'length': 0.25}
22,0.0,0.999999,0,{},0.175,0,length_5_4,unknown,novelty,1,{'length': 0.25}
23,0.0,0.999999,0,{},0.215,0,length_5_4,unknown,novelty,1,{'length': 0.25}
24,0.0,0.999999,0,{},0.2,0,length_5_4,unknown,novelty,1,{'length': 0.25}
0,0.0,0.999999,0,{},1.0,1,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
1,0.0,0.999999,0,{},1.0,1,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
2,0.0,0.999999,0,{},1.0,1,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
3,0.0,0.999999,0,{},1.0,1,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
4,0.0,0.999999,0,{},1.0,1,length_5_4,unknown,non-novelty-performance,1,{'length': 0.25}
5,0.0,0.999999,0,{},0.11,1,length_5_4,unknown,novelty,1,{'length': 0.25}
6,0.0,0.999999,0,{},0.19,1,length_5_4,unknown,novelty,1,{'length': 0.25}
7,0.0,0.999999,0,{},0.26,1,length_5_4,unknown,novelty,1,{'length': 0.25}
8,0.0,0.999999,0,{},0.14,1,length_5_4,unknown,novelty,1,{'length': 0.25}
9,0.0,0.999999,0,{},0.17,1,length_5_4,unknown,novelty,1,{'length': 0.25}
