episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.18846391183076172,0.8,0,{},1.0,0,force_mag_10_9,unknown,non-novelty-performance,1,{'force_mag': 10.0}
1,0.36118575213228543,0.8,0,{},1.0,0,force_mag_10_9,unknown,non-novelty-performance,1,{'force_mag': 10.0}
2,0.24514896017884236,0.8,0,{},1.0,0,force_mag_10_9,unknown,non-novelty-performance,1,{'force_mag': 10.0}
3,0.5180140196267358,0.8,0,{},1.0,0,force_mag_10_9,unknown,non-novelty-performance,1,{'force_mag': 10.0}
4,0.9929704084853587,0.8,0,{},1.0,0,force_mag_10_9,unknown,non-novelty-performance,1,{'force_mag': 10.0}
5,0.40371944748214905,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
6,0.5883857422436666,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
7,0.7474233457614468,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
8,0.5169383330424763,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
9,0.993057029109607,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
10,0.02665267339788102,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
11,0.6416799590585424,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
12,0.35443173829291996,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
13,0.3024633449031182,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
14,0.8250875916770252,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
15,0.938702258741527,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
16,0.3207381973675195,0.8,0,{},1.0,0,force_mag_10_9,unknown,novelty,1,{'force_mag': 10.0}
