episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.847158936236549,0.8,0,{},1.0,0,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
1,0.18000046997944974,0.8,0,{},1.0,0,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
2,0.7870324578883733,0.8,0,{},1.0,0,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
3,0.8431135098191309,0.8,0,{},1.0,0,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
4,0.8905134569151516,0.8,0,{},1.0,0,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
5,0.7977770190883496,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
6,0.16787709549105378,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
7,0.6210663644854826,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
8,0.72835242461116,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
9,0.9880599437867058,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
10,0.3464387034568651,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
11,0.6273825786675816,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
12,0.5911452444142716,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
13,0.7789490545782773,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
14,0.8932575358019645,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
15,0.768396572836102,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
16,0.6405201564803552,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
17,0.5781340447716035,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
18,0.9190428845955225,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
19,0.5966651672155167,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
20,0.22447437976977147,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
21,0.16366797083555207,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
22,0.691737802406897,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
23,0.3207149132348912,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
24,0.1989867522130777,0.8,0,{},1.0,0,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
0,0.6832125496232575,0.8,0,{},1.0,1,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
1,0.1787587863470037,0.8,0,{},1.0,1,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
2,0.5853920871347128,0.8,0,{},1.0,1,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
3,0.7221510482121114,0.8,0,{},1.0,1,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
4,0.5844399099729986,0.8,0,{},1.0,1,gravity_15_14,unknown,non-novelty-performance,2,{'gravity': 14.7}
5,0.03473819772087916,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
6,0.3760932111533217,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
7,0.20145429077067567,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
8,0.13592944023192677,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
9,0.4653737489787748,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
10,0.5119076478545899,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
11,0.7829092452838274,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
12,0.29767178341989786,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
13,0.512578153732853,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
14,0.6309690907312284,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
15,0.8475507316487262,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
16,0.48576476778550015,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
17,0.84482972346884,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
18,0.13894559136003515,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
19,0.2437184768509626,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
20,0.299219839898323,0.8,0,{},1.0,1,gravity_15_14,unknown,novelty,2,{'gravity': 14.7}
