episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.9894226168904134,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,non-novelty-performance,1,"{'gravity': 12, 'masscart': 0.9}"
1,0.6075995295211027,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,non-novelty-performance,1,"{'gravity': 12, 'masscart': 0.9}"
2,0.8845170286220948,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,non-novelty-performance,1,"{'gravity': 12, 'masscart': 0.9}"
3,0.40896928985533576,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,non-novelty-performance,1,"{'gravity': 12, 'masscart': 0.9}"
4,0.9052253933711909,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,non-novelty-performance,1,"{'gravity': 12, 'masscart': 0.9}"
5,0.6605804465209945,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
6,0.6461244653149408,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
7,0.7954921911108966,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
8,0.7353214630719281,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
9,0.43042017740399485,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
10,0.16141616679439708,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
11,0.9335242684033542,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
12,0.8449120561390436,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
13,0.2850444495934257,0.8,0,{},1.0,0,graviy_12_masscart_point9,unknown,novelty,1,"{'gravity': 12, 'masscart': 0.9}"
