episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.8488481692927531,0.8,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
1,0.261435638094756,0.8,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
2,0.1171382611740499,0.8,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
3,0.4230761614812585,0.8,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
4,0.9004614848252588,0.8,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
5,0.9020036739121088,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
6,0.8530318748530284,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
7,0.7522232876801432,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
8,0.2569543542636279,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
9,0.49846266107948733,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
10,0.7261760768148757,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
11,0.615478771193523,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
12,0.0011613500282726674,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
13,0.5342069237246972,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
14,0.5996000204253387,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
15,0.8414298951882972,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
16,0.6694879564206158,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
17,0.6639850240938111,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
18,0.08462854219341664,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
19,0.17520553978745623,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
20,0.04176974921005905,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
21,0.623427047587679,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
22,0.22497854728188016,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
23,0.4626534123748929,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
24,0.941292265952594,0.8,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
0,0.4569174709734207,0.8,0,{},1.0,1,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
1,0.9970958560830502,0.8,0,{},1.0,1,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
2,0.6643917551882844,0.8,0,{},1.0,1,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
