episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.20932610615582492,0.8,0,{},1.0,0,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
1,0.7545885980067396,0.8,0,{},1.0,0,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
2,0.606707371910069,0.8,0,{},1.0,0,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
3,0.8239805285774614,0.8,0,{},1.0,0,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
4,0.9996682005270299,0.8,0,{},1.0,0,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
5,0.2841263118210593,0.8,0,{},0.095,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
6,0.6690728973396382,0.8,0,{},0.08,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
7,0.6839925269359278,0.8,0,{},0.09,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
8,0.009287199040646565,0.8,0,{},0.08,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
9,0.6678376617647196,0.8,0,{},0.09,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
10,0.2907002361458626,0.8,0,{},0.09,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
11,0.46118188907608504,0.8,0,{},0.09,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
12,0.3116716138437977,0.8,0,{},0.1,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
13,0.7720437410716005,0.8,0,{},0.095,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
14,0.8959846975758088,0.8,0,{},0.085,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
15,0.7844155771015408,0.8,0,{},0.085,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
16,0.9445781773423988,0.8,0,{},0.085,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
17,0.0872293787042352,0.8,0,{},0.09,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
18,0.4148787085819663,0.8,0,{},0.09,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
19,0.116979799509073,0.8,0,{},0.095,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
20,0.5028077894343632,0.8,0,{},0.1,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
21,0.6821913279058286,0.8,0,{},0.08,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
22,0.14530398898222507,0.8,0,{},0.1,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
23,0.5034221280853568,0.8,0,{},0.175,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
24,0.5198531998318936,0.8,0,{},0.085,0,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
0,0.2929352727826313,0.8,0,{},1.0,1,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
1,0.5127705403613169,0.8,0,{},1.0,1,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
2,0.5434132613007601,0.8,0,{},1.0,1,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
3,0.3215012250075123,0.8,0,{},1.0,1,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
4,0.3037377654528297,0.8,0,{},1.0,1,length_2_masscart_point5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5}"
5,0.42891843078896275,0.8,0,{},0.1,1,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
6,0.47273044226065264,0.8,0,{},0.1,1,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
7,0.9461580582708111,0.8,0,{},0.085,1,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
8,0.39707417671435674,0.8,0,{},0.095,1,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
9,0.55342552957248,0.8,0,{},0.175,1,length_2_masscart_point5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5}"
