episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.9910490495776236,0.8,0,{},1.0,0,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
1,0.034391124782912286,0.8,0,{},1.0,0,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
2,0.14611280012544436,0.8,0,{},1.0,0,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
3,0.6234389763163402,0.8,0,{},1.0,0,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
4,0.5167848719228694,0.8,0,{},1.0,0,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
5,0.6139221013971433,0.8,0,{},0.085,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
6,0.8476871039312579,0.8,0,{},0.085,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
7,0.2625201916489561,0.8,0,{},0.1,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
8,0.994725293132954,0.8,0,{},0.18,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
9,0.43183671183832195,0.8,0,{},0.1,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
10,0.12225406660069305,0.8,0,{},0.095,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
11,0.5954981894317523,0.8,0,{},0.095,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
12,0.5321358892311959,0.8,0,{},0.09,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
13,0.007307038824044043,0.8,0,{},0.165,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
14,0.1765002053827739,0.8,0,{},0.085,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
15,0.5696695640325371,0.8,0,{},0.095,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
16,0.8316624581332721,0.8,0,{},0.09,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
17,0.5613392170561922,0.8,0,{},0.095,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
18,0.49161856875656573,0.8,0,{},0.17,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
19,0.7222804939340358,0.8,0,{},0.095,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
20,0.3697098523896576,0.8,0,{},0.085,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
21,0.7033277552521179,0.8,0,{},0.09,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
22,0.2846398936634785,0.8,0,{},0.1,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
23,0.219020358176933,0.8,0,{},0.1,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
24,0.5559476984106198,0.8,0,{},0.08,0,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
0,0.15607619110346127,0.8,0,{},1.0,1,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
1,0.13643759133144906,0.8,0,{},1.0,1,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
2,0.8834758360118741,0.8,0,{},1.0,1,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
3,0.8395626846962491,0.8,0,{},1.0,1,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
4,0.5954242841230288,0.8,0,{},1.0,1,length_2_masscart_point5_gravity_5,unknown,non-novelty-performance,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
5,0.6725881886179265,0.8,0,{},0.1,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
6,0.2762739370216277,0.8,0,{},0.165,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
7,0.5619738357646714,0.8,0,{},0.09,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
8,0.9047436893283824,0.8,0,{},0.1,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
9,0.1780607738822232,0.8,0,{},0.09,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
10,0.9499330120321737,0.8,0,{},0.095,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
11,0.5048116383685556,0.8,0,{},0.095,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
12,0.16230525078377445,0.8,0,{},0.175,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
13,0.5065005491043807,0.8,0,{},0.085,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
14,0.802711485345033,0.8,0,{},0.085,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
15,0.17218171408995697,0.8,0,{},0.08,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
16,0.07012794507657127,0.8,0,{},0.085,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
17,0.06467538963480679,0.8,0,{},0.095,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
18,0.3433240743487317,0.8,0,{},0.085,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
19,0.09707721429935445,0.8,0,{},0.095,1,length_2_masscart_point5_gravity_5,unknown,novelty,1,"{'length': 2, 'masscart': 0.5, 'gravity': 5}"
