episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.42894574223187565,0.8,0,{},1.0,0,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
1,0.20555676715528282,0.8,0,{},1.0,0,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
2,0.026950600823292703,0.8,0,{},1.0,0,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
3,0.5604716769358797,0.8,0,{},1.0,0,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
4,0.21745705747530242,0.8,0,{},1.0,0,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
5,0.23776278356285985,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
6,0.35996236301828366,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
7,0.46581142676415066,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
8,0.1943759070573432,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
9,0.31031233114311085,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
10,0.12149518424040473,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
11,0.7501859227739668,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
12,0.7499088318742969,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
13,0.31108074014196807,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
14,0.44569355952335943,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
15,0.3045572890038497,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
16,0.9494336524091805,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
17,0.7796421593423767,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
18,0.7720668829707465,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
19,0.07447471357374802,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
20,0.10649601708905887,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
21,0.003820195731313203,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
22,0.7508073499963451,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
23,0.5744645807008026,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
24,0.8854489472271041,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
25,0.13402361968512033,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
26,0.3534196042547185,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
27,0.6291098761640042,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
28,0.16266131969342978,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
29,0.835588359315043,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
30,0.9777142229027486,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
31,0.7696797341895885,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
32,0.29342579873138175,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
33,0.11736601432484395,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
34,0.09410680440153396,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
35,0.49494724036200133,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
36,0.7772312233270547,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
37,0.39465054702286184,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
38,0.8662856520073754,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
39,0.15443175328044312,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
40,0.6362456571661198,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
41,0.4067825196876197,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
42,0.19969551854431844,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
43,0.44582413775025187,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
44,0.9754347369005574,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
45,0.8224985198059147,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
46,0.1480846038987701,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
47,0.4882924143852997,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
48,0.06734842938312624,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
49,0.9880128499955708,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
50,0.23574657344436434,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
51,0.12224400899711485,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
52,0.27804819398286096,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
53,0.9276540338329204,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
54,0.1239482326742527,0.8,0,{},1.0,0,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
0,0.17522857095341038,0.8,0,{},1.0,1,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
1,0.879880139125245,0.8,0,{},1.0,1,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
2,0.8493261602720753,0.8,0,{},1.0,1,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
3,0.5808991999751064,0.8,0,{},1.0,1,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
4,0.5277521509668642,0.8,0,{},1.0,1,length_6_gravity_8,unknown,non-novelty-performance,1,"{'length': 0.6, 'gravity': 8}"
5,0.20311209232934324,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
6,0.9904767466011308,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
7,0.34263651655333915,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
8,0.19625025345813985,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
9,0.8343570013112738,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
10,0.8425441003842931,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
11,0.24750564731299252,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
12,0.06807570852093259,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
13,0.2076729331965944,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
14,0.7649716755419165,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
15,0.42602976384519053,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
16,0.10773673224489788,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
17,0.17890131939817722,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
18,0.8790846199786916,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
19,0.9278329553666467,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
20,0.5597192580241401,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
21,0.9242182778371385,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
22,0.9235788021233039,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
23,0.9587090876662998,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
24,0.2647494064953332,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
25,0.1904107210447955,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
26,0.01910963299289914,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
27,0.7227279511125627,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
28,0.5848133685410619,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
29,0.3648867980612287,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
30,0.442243775865248,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
31,0.012795803387881333,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
32,0.354891435393753,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
33,0.1682696646393872,0.8,0,{},1.0,1,length_6_gravity_8,unknown,novelty,1,"{'length': 0.6, 'gravity': 8}"
