episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.6406211178520314,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
1,0.30969322600731974,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
2,0.7260668151251946,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
3,0.6127158984467342,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
4,0.5495304502435603,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
5,0.6076133956647012,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
6,0.9804444040470924,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
7,0.6313225825547576,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
8,0.13200851514662348,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
9,0.8741875880190062,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
10,0.5777045734494369,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
11,0.4985936783668078,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
12,0.7611566839877765,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
13,0.7734763191833222,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
14,0.8630218177875129,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
15,0.7707874952691471,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
16,0.7147200535510893,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
17,0.1829226377548575,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
18,0.9198398368028432,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
19,0.5729592710753972,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
20,0.694691332519666,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
21,0.8257783467826088,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
22,0.03600321519820848,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
23,0.9960943350700093,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
24,0.7368578702268809,0.8,0,{},1.0,0,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
0,0.6910898100605726,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
1,0.8309685615990065,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
2,0.8618213218385143,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
3,0.7767428664443112,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
4,0.37205090629818616,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
5,0.6978202189371568,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
6,0.8397083126673798,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
7,0.11875343875206334,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
8,0.8630356770011529,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
9,0.3637299728922825,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
10,0.9801976305258283,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
11,0.8713510741144727,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
12,0.536075405101955,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
13,0.7175292166369938,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
14,0.9431345319367604,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
15,0.9644346802256152,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
16,0.825500940212556,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
17,0.5727093649917692,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
18,0.5987801534220676,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
19,0.488591627424691,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
20,0.26357394420830604,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
21,0.5121858650102327,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
22,0.6368431919226251,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
23,0.29240536054652255,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
24,0.2668331485602742,0.8,0,{},1.0,1,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
0,0.3952145528196154,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
1,0.08951601881668692,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
2,0.4905174325237398,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
3,0.3437069644075871,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
4,0.35858457535320254,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,non-novelty-performance,1,"{'length': 0.5, 'masscart': 0.9}"
5,0.4751211454480815,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
6,0.13238430366596043,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
7,0.014560390191604933,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
8,0.28745529346543786,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
9,0.35674893709994504,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
10,0.07867246338584899,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
11,0.920672020131365,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
12,0.9573026376853518,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
13,0.8833719036719747,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
14,0.06156474968737535,0.8,0,{},1.0,2,length_point5_masscart_point9,unknown,novelty,1,"{'length': 0.5, 'masscart': 0.9}"
