episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.5407270324848502,0.8,0,{},1.0,0,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
1,0.02006430114693647,0.8,0,{},1.0,0,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
2,0.9608987920064199,0.8,0,{},1.0,0,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
3,0.5680964804597073,0.8,0,{},1.0,0,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
4,0.451841195467402,0.8,0,{},1.0,0,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
5,0.24469534927736525,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
6,0.7650145967039488,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
7,0.5077001318795823,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
8,0.5520619102491865,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
9,0.9718485453872666,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
10,0.4456164742796658,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
11,0.7883169907463723,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
12,0.10370891187232767,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
13,0.7231007256035485,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
14,0.3371259526603091,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
15,0.04302199562393705,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
16,0.11069547723553064,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
17,0.5398735723811362,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
18,0.40395155495092583,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
19,0.8012479405566291,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
20,0.923769627313305,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
21,0.16989217510040977,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
22,0.12098023032753491,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
23,0.9153111181034069,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
24,0.0879682279013374,0.8,0,{},1.0,0,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
0,0.1444232985174364,0.8,0,{},1.0,1,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
1,0.9200693041130706,0.8,0,{},1.0,1,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
2,0.2069275716839385,0.8,0,{},1.0,1,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
3,0.797496328276935,0.8,0,{},1.0,1,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
4,0.06176015038416227,0.8,0,{},1.0,1,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
5,0.051544982971094,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
6,0.016969114794438966,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
7,0.4457176062450714,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
8,0.077203607272613,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
9,0.9793685300936392,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
10,0.2881123412322639,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
11,0.19631373252664353,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
12,0.18454175073806822,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
13,0.3033124596701149,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
14,0.692103000090566,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
15,0.9707874377635515,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
16,0.3900700224141179,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
17,0.8508556759270951,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
18,0.6047806659622885,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
19,0.3023772689311516,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
20,0.041800586986396215,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
21,0.08279837799405176,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
22,0.7823942367591529,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
23,0.46430521023313676,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
24,0.6406467313429416,0.8,0,{},1.0,1,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
0,0.37819013832052306,0.8,0,{},1.0,2,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
1,0.014100112843139279,0.8,0,{},1.0,2,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
2,0.6795031309161744,0.8,0,{},1.0,2,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
3,0.5869654605794979,0.8,0,{},1.0,2,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
4,0.42639532782277434,0.8,0,{},1.0,2,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
5,0.9648943777586723,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
6,0.7395110358489366,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
7,0.9498712727399008,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
8,0.6580314943840628,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
9,0.8244081033245271,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
10,0.18554451668992955,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
11,0.054885458749161065,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
12,0.8326265005551116,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
13,0.511230766557442,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
14,0.7238862383454809,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
15,0.7659607206405911,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
16,0.12980014626065817,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
17,0.48038874622762795,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
18,0.22679945592406803,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
19,0.7545926937745981,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
20,0.6575478114888134,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
21,0.5108798056346565,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
22,0.7925470292096651,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
23,0.34377058578160147,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
24,0.4461536203912091,0.8,0,{},1.0,2,masscart_5_0,unknown,novelty,1,{'masscart': 0.5}
0,0.3043700391909172,0.8,0,{},1.0,3,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
1,0.477674375919917,0.8,0,{},1.0,3,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
2,0.18831212503527406,0.8,0,{},1.0,3,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
3,0.612971507955899,0.8,0,{},1.0,3,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
4,0.31377175123642853,0.8,0,{},1.0,3,masscart_5_0,unknown,non-novelty-performance,1,{'masscart': 0.5}
