episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.9358772441522303,0.8,0,{},1.0,0,masscart_point1,unknown,non-novelty-performance,1,{'masscart': 0.0001}
1,0.9349680220657727,0.8,0,{},1.0,0,masscart_point1,unknown,non-novelty-performance,1,{'masscart': 0.0001}
2,0.1955422603842909,0.8,0,{},1.0,0,masscart_point1,unknown,non-novelty-performance,1,{'masscart': 0.0001}
3,0.3754654166428041,0.8,0,{},1.0,0,masscart_point1,unknown,non-novelty-performance,1,{'masscart': 0.0001}
4,0.9367606811250782,0.8,0,{},1.0,0,masscart_point1,unknown,non-novelty-performance,1,{'masscart': 0.0001}
5,0.1533396646382662,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
6,0.22466903743633282,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
7,0.5502468371711198,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
8,0.1496690913316654,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
9,0.21487252256370182,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
10,0.39650337238365385,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
11,0.755079913936723,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
12,0.01350482072828385,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
13,0.8180357245902038,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
14,0.26299893880421266,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
15,0.1359993703803971,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
16,0.6324828759642145,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
17,0.12716539505835933,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
18,0.3792900547043966,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
19,0.005307073248865257,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
20,0.26540051986797153,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
21,0.6326250456157992,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
22,0.010329492808324958,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
23,0.8410348219629966,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
24,0.6266062307773329,0.8,0,{},1.0,0,masscart_point1,unknown,novelty,1,{'masscart': 0.0001}
0,0.8236341191897378,0.8,0,{},1.0,0,masscart_point1,known,non-novelty-performance,1,{'masscart': 0.0001}
1,0.4764087870332524,0.8,0,{},1.0,0,masscart_point1,known,non-novelty-performance,1,{'masscart': 0.0001}
2,0.7885166811182343,0.8,0,{},1.0,0,masscart_point1,known,non-novelty-performance,1,{'masscart': 0.0001}
3,0.9152423651408006,0.8,0,{},1.0,0,masscart_point1,known,non-novelty-performance,1,{'masscart': 0.0001}
4,0.7216790249425682,0.8,0,{},1.0,0,masscart_point1,known,non-novelty-performance,1,{'masscart': 0.0001}
5,0.9739642796624725,0.8,0,{},1.0,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
6,0.4339291610975845,0.8,0,{},1.0,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
7,0.28366346035801926,0.8,0,{},0.055,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
8,0.24923981159873876,0.8,0,{},0.045,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
9,0.3069233257531896,0.8,0,{},0.05,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
10,0.026750490194488497,0.8,0,{},0.05,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
11,0.7171083987619616,0.8,0,{},0.05,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
12,0.680818228175298,0.8,0,{},0.05,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
13,0.2943492390722786,0.8,0,{},0.045,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
14,0.20619685224526452,0.8,0,{},0.06,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
15,0.2725325108956106,0.8,0,{},1.0,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
16,0.04926810436113738,0.8,0,{},0.52,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
17,0.15055759116139222,0.8,0,{},0.58,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
18,0.9288552599529429,0.8,0,{},0.915,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
19,0.5545946691760207,0.8,0,{},1.0,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
20,0.43249939931648673,0.8,0,{},1.0,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
21,0.7698184746496112,0.8,0,{},1.0,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
22,0.8236790317554946,0.8,0,{},1.0,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
23,0.06071961315215124,0.8,0,{},0.33,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
24,0.9511969521261806,0.8,0,{},0.12,0,masscart_point1,known,novelty,1,{'masscart': 0.0001}
