episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.0,0.999999,0,{},1.0,0,force_mag_20_11,unknown,non-novelty-performance,1,{'force_mag': 20.0}
1,0.0,0.999999,0,{},1.0,0,force_mag_20_11,unknown,non-novelty-performance,1,{'force_mag': 20.0}
2,0.0,0.999999,0,{},1.0,0,force_mag_20_11,unknown,non-novelty-performance,1,{'force_mag': 20.0}
3,0.0,0.999999,0,{},1.0,0,force_mag_20_11,unknown,non-novelty-performance,1,{'force_mag': 20.0}
4,0.0,0.999999,0,{},1.0,0,force_mag_20_11,unknown,non-novelty-performance,1,{'force_mag': 20.0}
5,0.0,0.999999,0,{},0.18,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
6,0.0,0.999999,0,{},0.32,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
7,0.0,0.999999,0,{},0.18,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
8,0.0,0.999999,0,{},0.14,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
9,0.0,0.999999,0,{},0.175,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
10,0.0,0.999999,0,{},0.195,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
11,0.0,0.999999,0,{},0.17,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
12,0.0,0.999999,0,{},0.18,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
13,0.0,0.999999,0,{},0.165,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
14,0.0,0.999999,0,{},0.12,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
15,0.0,0.999999,0,{},0.17,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
16,0.0,0.999999,0,{},0.17,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
17,0.0,0.999999,0,{},0.145,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
18,0.0,0.999999,0,{},0.17,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
19,0.0,0.999999,0,{},0.19,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
20,0.0,0.999999,0,{},0.17,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
21,0.0,0.999999,0,{},0.18,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
22,0.0,0.999999,0,{},0.175,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
23,0.0,0.999999,0,{},0.175,0,force_mag_20_11,unknown,novelty,1,{'force_mag': 20.0}
