episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.0,0.999999,0,{},0.895,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
1,0.0,0.999999,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
2,0.0,0.999999,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
3,0.0,0.999999,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
4,0.0,0.999999,0,{},1.0,0,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
5,0.0,0.999999,0,{},0.37,0,length_15_6,unknown,novelty,1,{'length': 0.75}
6,0.0,0.999999,0,{},0.405,0,length_15_6,unknown,novelty,1,{'length': 0.75}
7,0.0,0.999999,0,{},0.375,0,length_15_6,unknown,novelty,1,{'length': 0.75}
8,0.0,0.999999,0,{},0.515,0,length_15_6,unknown,novelty,1,{'length': 0.75}
9,0.0,0.999999,0,{},0.89,0,length_15_6,unknown,novelty,1,{'length': 0.75}
10,0.0,0.999999,0,{},0.385,0,length_15_6,unknown,novelty,1,{'length': 0.75}
11,0.0,0.999999,0,{},0.385,0,length_15_6,unknown,novelty,1,{'length': 0.75}
12,0.0,0.999999,0,{},0.86,0,length_15_6,unknown,novelty,1,{'length': 0.75}
13,0.0,0.999999,0,{},0.51,0,length_15_6,unknown,novelty,1,{'length': 0.75}
14,0.0,0.999999,0,{},0.88,0,length_15_6,unknown,novelty,1,{'length': 0.75}
15,0.0,0.999999,0,{},0.375,0,length_15_6,unknown,novelty,1,{'length': 0.75}
16,0.0,0.999999,0,{},1.0,0,length_15_6,unknown,novelty,1,{'length': 0.75}
17,0.0,0.999999,0,{},0.755,0,length_15_6,unknown,novelty,1,{'length': 0.75}
18,0.0,0.999999,0,{},0.365,0,length_15_6,unknown,novelty,1,{'length': 0.75}
19,0.0,0.999999,0,{},0.37,0,length_15_6,unknown,novelty,1,{'length': 0.75}
20,0.0,0.999999,0,{},0.73,0,length_15_6,unknown,novelty,1,{'length': 0.75}
21,0.0,0.999999,0,{},0.745,0,length_15_6,unknown,novelty,1,{'length': 0.75}
22,0.0,0.999999,0,{},0.635,0,length_15_6,unknown,novelty,1,{'length': 0.75}
23,0.0,0.999999,0,{},0.38,0,length_15_6,unknown,novelty,1,{'length': 0.75}
24,0.0,0.999999,0,{},0.405,0,length_15_6,unknown,novelty,1,{'length': 0.75}
0,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
1,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
2,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
3,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
4,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
5,0.0,0.999999,0,{},0.365,1,length_15_6,unknown,novelty,1,{'length': 0.75}
6,0.0,0.999999,0,{},0.63,1,length_15_6,unknown,novelty,1,{'length': 0.75}
7,0.0,0.999999,0,{},0.385,1,length_15_6,unknown,novelty,1,{'length': 0.75}
8,0.0,0.999999,0,{},0.395,1,length_15_6,unknown,novelty,1,{'length': 0.75}
9,0.0,0.999999,0,{},0.51,1,length_15_6,unknown,novelty,1,{'length': 0.75}
10,0.0,0.999999,0,{},0.395,1,length_15_6,unknown,novelty,1,{'length': 0.75}
11,0.0,0.999999,0,{},0.365,1,length_15_6,unknown,novelty,1,{'length': 0.75}
12,0.0,0.999999,0,{},0.635,1,length_15_6,unknown,novelty,1,{'length': 0.75}
13,0.0,0.999999,0,{},0.38,1,length_15_6,unknown,novelty,1,{'length': 0.75}
14,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,novelty,1,{'length': 0.75}
15,0.0,0.999999,0,{},0.52,1,length_15_6,unknown,novelty,1,{'length': 0.75}
16,0.0,0.999999,0,{},0.37,1,length_15_6,unknown,novelty,1,{'length': 0.75}
17,0.0,0.999999,0,{},0.775,1,length_15_6,unknown,novelty,1,{'length': 0.75}
18,0.0,0.999999,0,{},0.495,1,length_15_6,unknown,novelty,1,{'length': 0.75}
19,0.0,0.999999,0,{},0.39,1,length_15_6,unknown,novelty,1,{'length': 0.75}
20,0.0,0.999999,0,{},0.605,1,length_15_6,unknown,novelty,1,{'length': 0.75}
21,0.0,0.999999,0,{},0.495,1,length_15_6,unknown,novelty,1,{'length': 0.75}
22,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,novelty,1,{'length': 0.75}
23,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,novelty,1,{'length': 0.75}
24,0.0,0.999999,0,{},1.0,1,length_15_6,unknown,novelty,1,{'length': 0.75}
0,0.0,0.999999,0,{},1.0,2,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
1,0.0,0.999999,0,{},1.0,2,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
2,0.0,0.999999,0,{},1.0,2,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
3,0.0,0.999999,0,{},1.0,2,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
4,0.0,0.999999,0,{},1.0,2,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
5,0.0,0.999999,0,{},1.0,2,length_15_6,unknown,novelty,1,{'length': 0.75}
6,0.0,0.999999,0,{},0.52,2,length_15_6,unknown,novelty,1,{'length': 0.75}
7,0.0,0.999999,0,{},0.64,2,length_15_6,unknown,novelty,1,{'length': 0.75}
8,0.0,0.999999,0,{},0.625,2,length_15_6,unknown,novelty,1,{'length': 0.75}
9,0.0,0.999999,0,{},0.365,2,length_15_6,unknown,novelty,1,{'length': 0.75}
10,0.0,0.999999,0,{},0.635,2,length_15_6,unknown,novelty,1,{'length': 0.75}
11,0.0,0.999999,0,{},0.515,2,length_15_6,unknown,novelty,1,{'length': 0.75}
12,0.0,0.999999,0,{},0.61,2,length_15_6,unknown,novelty,1,{'length': 0.75}
13,0.0,0.999999,0,{},0.62,2,length_15_6,unknown,novelty,1,{'length': 0.75}
14,0.0,0.999999,0,{},0.385,2,length_15_6,unknown,novelty,1,{'length': 0.75}
15,0.0,0.999999,0,{},0.995,2,length_15_6,unknown,novelty,1,{'length': 0.75}
16,0.0,0.999999,0,{},0.54,2,length_15_6,unknown,novelty,1,{'length': 0.75}
17,0.0,0.999999,0,{},0.395,2,length_15_6,unknown,novelty,1,{'length': 0.75}
18,0.0,0.999999,0,{},0.49,2,length_15_6,unknown,novelty,1,{'length': 0.75}
19,0.0,0.999999,0,{},0.48,2,length_15_6,unknown,novelty,1,{'length': 0.75}
20,0.0,0.999999,0,{},0.615,2,length_15_6,unknown,novelty,1,{'length': 0.75}
21,0.0,0.999999,0,{},0.49,2,length_15_6,unknown,novelty,1,{'length': 0.75}
22,0.0,0.999999,0,{},0.385,2,length_15_6,unknown,novelty,1,{'length': 0.75}
23,0.0,0.999999,0,{},0.635,2,length_15_6,unknown,novelty,1,{'length': 0.75}
24,0.0,0.999999,0,{},0.49,2,length_15_6,unknown,novelty,1,{'length': 0.75}
0,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
1,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
2,0.0,0.999999,0,{},0.88,3,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
3,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
4,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
5,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,novelty,1,{'length': 0.75}
6,0.0,0.999999,0,{},0.38,3,length_15_6,unknown,novelty,1,{'length': 0.75}
7,0.0,0.999999,0,{},0.39,3,length_15_6,unknown,novelty,1,{'length': 0.75}
8,0.0,0.999999,0,{},0.75,3,length_15_6,unknown,novelty,1,{'length': 0.75}
9,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,novelty,1,{'length': 0.75}
10,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,novelty,1,{'length': 0.75}
11,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,novelty,1,{'length': 0.75}
12,0.0,0.999999,0,{},0.75,3,length_15_6,unknown,novelty,1,{'length': 0.75}
13,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,novelty,1,{'length': 0.75}
14,0.0,0.999999,0,{},0.765,3,length_15_6,unknown,novelty,1,{'length': 0.75}
15,0.0,0.999999,0,{},1.0,3,length_15_6,unknown,novelty,1,{'length': 0.75}
16,0.0,0.999999,0,{},0.37,3,length_15_6,unknown,novelty,1,{'length': 0.75}
17,0.0,0.999999,0,{},0.725,3,length_15_6,unknown,novelty,1,{'length': 0.75}
18,0.0,0.999999,0,{},0.495,3,length_15_6,unknown,novelty,1,{'length': 0.75}
19,0.0,0.999999,0,{},0.765,3,length_15_6,unknown,novelty,1,{'length': 0.75}
20,0.0,0.999999,0,{},0.38,3,length_15_6,unknown,novelty,1,{'length': 0.75}
21,0.0,0.999999,0,{},0.61,3,length_15_6,unknown,novelty,1,{'length': 0.75}
22,0.0,0.999999,0,{},0.505,3,length_15_6,unknown,novelty,1,{'length': 0.75}
23,0.0,0.999999,0,{},0.385,3,length_15_6,unknown,novelty,1,{'length': 0.75}
24,0.0,0.999999,0,{},0.39,3,length_15_6,unknown,novelty,1,{'length': 0.75}
0,0.0,0.999999,0,{},1.0,4,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
1,0.0,0.999999,0,{},1.0,4,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
2,0.0,0.999999,0,{},1.0,4,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
3,0.0,0.999999,0,{},1.0,4,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
4,0.0,0.999999,0,{},1.0,4,length_15_6,unknown,non-novelty-performance,1,{'length': 0.75}
5,0.0,0.999999,0,{},0.61,4,length_15_6,unknown,novelty,1,{'length': 0.75}
6,0.0,0.999999,0,{},1.0,4,length_15_6,unknown,novelty,1,{'length': 0.75}
7,0.0,0.999999,0,{},0.625,4,length_15_6,unknown,novelty,1,{'length': 0.75}
8,0.0,0.999999,0,{},0.38,4,length_15_6,unknown,novelty,1,{'length': 0.75}
9,0.0,0.999999,0,{},0.495,4,length_15_6,unknown,novelty,1,{'length': 0.75}
10,0.0,0.999999,0,{},0.685,4,length_15_6,unknown,novelty,1,{'length': 0.75}
11,0.0,0.999999,0,{},0.515,4,length_15_6,unknown,novelty,1,{'length': 0.75}
12,0.0,0.999999,0,{},0.38,4,length_15_6,unknown,novelty,1,{'length': 0.75}
13,0.0,0.999999,0,{},0.495,4,length_15_6,unknown,novelty,1,{'length': 0.75}
14,0.0,0.999999,0,{},0.605,4,length_15_6,unknown,novelty,1,{'length': 0.75}
15,0.0,0.999999,0,{},0.245,4,length_15_6,unknown,novelty,1,{'length': 0.75}
16,0.0,0.999999,0,{},0.975,4,length_15_6,unknown,novelty,1,{'length': 0.75}
17,0.0,0.999999,0,{},1.0,4,length_15_6,unknown,novelty,1,{'length': 0.75}
18,0.0,0.999999,0,{},0.385,4,length_15_6,unknown,novelty,1,{'length': 0.75}
19,0.0,0.999999,0,{},0.385,4,length_15_6,unknown,novelty,1,{'length': 0.75}
20,0.0,0.999999,0,{},0.76,4,length_15_6,unknown,novelty,1,{'length': 0.75}
21,0.0,0.999999,0,{},0.49,4,length_15_6,unknown,novelty,1,{'length': 0.75}
22,0.0,0.999999,0,{},0.625,4,length_15_6,unknown,novelty,1,{'length': 0.75}
23,0.0,0.999999,0,{},0.62,4,length_15_6,unknown,novelty,1,{'length': 0.75}
24,0.0,0.999999,0,{},0.5,4,length_15_6,unknown,novelty,1,{'length': 0.75}
0,0.0,0.999999,0,{},1.0,0,length_15_6,known,non-novelty-performance,1,{'length': 0.75}
1,0.0,0.999999,0,{},1.0,0,length_15_6,known,non-novelty-performance,1,{'length': 0.75}
2,0.0,0.999999,0,{},1.0,0,length_15_6,known,non-novelty-performance,1,{'length': 0.75}
3,0.0,0.999999,0,{},1.0,0,length_15_6,known,non-novelty-performance,1,{'length': 0.75}
4,0.0,0.999999,0,{},1.0,0,length_15_6,known,non-novelty-performance,1,{'length': 0.75}
5,1.0,0.999999,0,{},0.375,0,length_15_6,known,novelty,1,{'length': 0.75}
6,1.0,0.999999,0,{},0.38,0,length_15_6,known,novelty,1,{'length': 0.75}
7,1.0,0.999999,0,{},1.0,0,length_15_6,known,novelty,1,{'length': 0.75}
8,1.0,0.999999,0,{},0.71,0,length_15_6,known,novelty,1,{'length': 0.75}
9,1.0,0.999999,0,{},0.495,0,length_15_6,known,novelty,1,{'length': 0.75}
10,1.0,0.999999,0,{},0.365,0,length_15_6,known,novelty,1,{'length': 0.75}
11,1.0,0.999999,0,{},0.74,0,length_15_6,known,novelty,1,{'length': 0.75}
12,1.0,0.999999,0,{},0.5,0,length_15_6,known,novelty,1,{'length': 0.75}
13,1.0,0.999999,0,{},0.39,0,length_15_6,known,novelty,1,{'length': 0.75}
14,1.0,0.999999,0,{},0.365,0,length_15_6,known,novelty,1,{'length': 0.75}
15,1.0,0.999999,0,{},0.37,0,length_15_6,known,novelty,1,{'length': 0.75}
16,1.0,0.999999,0,{},0.635,0,length_15_6,known,novelty,1,{'length': 0.75}
17,1.0,0.999999,0,{},0.27,0,length_15_6,known,novelty,1,{'length': 0.75}
